x	y	key	PANEL	group
-16.3942310876704	0	1	1	36
-7.14936867415431	0	1	1	36
-6.49261239549392	0	1	1	36
-6.12351804114635	0	1	1	36
-5.93472620065876	0	1	1	36
-5.85796105095164	0	1	1	36
-5.83391269842649	0	1	1	36
-5.57730762068999	0	1	1	36
-5.2734505761947	0	1	1	36
-4.98231633334054	0	1	1	36
-4.52622166105606	0	1	1	36
-4.30005263294773	0	1	1	36
-4.28819986270099	0	1	1	36
-4.27949597037301	0	1	1	36
-4.25437190734934	0	1	1	36
-4.23042115228833	0	1	1	36
-4.07354853140065	0	1	1	36
-3.86284506650821	0	1	1	36
-3.79131260517777	0	1	1	36
-3.7753024117677	0	1	1	36
-3.76389527579534	0	1	1	36
-3.75251719421291	0	1	1	36
-3.73547634114643	0	1	1	36
-3.70778906844892	0	1	1	36
-3.68779605167251	0	1	1	36
-3.64642474464788	0	1	1	36
-3.59202198193673	0	1	1	36
-3.54764216735162	0	1	1	36
-3.51554271786461	0	1	1	36
-3.49838870432604	0	1	1	36
-3.4879930779326	0	1	1	36
-3.45809566104915	0	1	1	36
-3.40108513856045	0	1	1	36
-3.37066863817248	0	1	1	36
-3.36333593720073	0	1	1	36
-3.34785852845454	0	1	1	36
-3.32469400613925	0	1	1	36
-3.30197510698942	0	1	1	36
-3.27249612156173	0	1	1	36
-3.2428118437502	1	1	1	36
-3.2275561966642	1	1	1	36
-3.21133875533119	1	1	1	36
-3.18552270193556	1	1	1	36
-3.17079875741169	1	1	1	36
-3.1465815767819	1	1	1	36
-3.11531444289095	1	1	1	36
-3.09032651782824	1	1	1	36
-3.06379413979675	1	1	1	36
-3.05331876754996	1	1	1	36
-3.02926959907032	1	1	1	36
-3.00079592227381	1	1	1	36
-2.97912628685462	1	1	1	36
-2.95553860153917	1	1	1	36
-2.92051218402761	1	1	1	36
-2.88616941407516	1	1	1	36
-2.87709997228704	1	1	1	36
-2.8666332687633	1	1	1	36
-2.83724973100192	1	1	1	36
-2.7962341264248	1	1	1	36
-2.77119362265253	1	1	1	36
-2.76213621861412	1	1	1	36
-2.75426970241017	1	1	1	36
-2.74822043834346	1	1	1	36
-2.73661100496512	1	1	1	36
-2.70583955967862	1	1	1	36
-2.67769468286997	1	1	1	36
-2.64344475835891	1	1	1	36
-2.60700362581471	1	1	1	36
-2.59612491385487	1	1	1	36
-2.58573695848172	1	1	1	36
-2.57042678748654	1	1	1	36
-2.55940030633234	1	1	1	36
-2.55359488056748	1	1	1	36
-2.52010987525646	1	1	1	36
-2.47584463873112	1	1	1	36
-2.46246661898755	1	1	1	36
-2.45504329767083	1	1	1	36
-2.44750037405533	2	1	1	36
-2.44434006203523	2	1	1	36
-2.44075036339116	2	1	1	36
-2.42655295488797	3	1	1	36
-2.40748466046557	3	1	1	36
-2.39852452300421	3	1	1	36
-2.3900432297627	3	1	1	36
-2.37573809115026	3	1	1	36
-2.3635041486056	3	1	1	36
-2.35872936327456	3	1	1	36
-2.35630678729745	3	1	1	36
-2.32897054714212	3	1	1	36
-2.30132534226125	3	1	1	36
-2.29797363180318	3	1	1	36
-2.29161511101965	3	1	1	36
-2.26678713483579	3	1	1	36
-2.23114899045081	3	1	1	36
-2.21505390817394	3	1	1	36
-2.192569071155	3	1	1	36
-2.16483627807217	3	1	1	36
