group	x	y	PANEL
1	-16.3942310876704	912	1
1	-7.61019911165352	911	1
1	-6.68076874637332	910	1
1	-6.00759129208	909	1
1	-5.87709671007869	908	1
1	-5.71954336729868	907	1
1	-5.67583269279465	906	1
1	-5.43153572136725	905	1
1	-5.01022187525288	904	1
1	-4.77401984118316	903	1
1	-4.63165996584121	901	1
1	-4.52529486326493	900	1
1	-4.50057214515068	899	1
1	-4.44876552514248	898	1
1	-4.40481149591171	895	1
1	-4.38381966361796	893	1
1	-4.33831050189285	892	1
1	-4.29803800068688	891	1
1	-4.28130098133788	890	1
1	-4.27583248057353	889	1
1	-4.25138102289818	887	1
1	-4.18184063889838	886	1
1	-4.10547890675799	885	1
1	-4.05719390734101	884	1
1	-4.0310600781018	883	1
1	-4.02473844166563	882	1
1	-4.01783573608724	881	1
1	-4.01110757556069	879	1
1	-4.00797490654176	878	1
1	-3.99006922630689	876	1
1	-3.95424269039667	875	1
1	-3.9289009815331	871	1
1	-3.91174055251498	870	1
1	-3.89887290263096	869	1
1	-3.89761053852752	864	1
1	-3.8519348154747	863	1
1	-3.78884995775535	862	1
1	-3.76632036461653	861	1
1	-3.75526906948105	860	1
1	-3.73816152263424	859	1
1	-3.72116094062461	858	1
1	-3.70319565112252	856	1
1	-3.64998808192727	855	1
1	-3.59572380869917	851	1
1	-3.58258697844187	850	1
1	-3.5810416619818	846	1
1	-3.56487041524929	845	1
1	-3.54835834085796	842	1
1	-3.51044694067898	841	1
1	-3.47412821654954	840	1
1	-3.45755306659414	839	1
1	-3.4338748515593	836	1
1	-3.41583947317941	835	1
1	-3.37886963775997	834	1
1	-3.35257804505303	825	1
1	-3.34482752136473	824	1
1	-3.33104717478465	822	1
1	-3.321472210212	821	1
1	-3.31629562932201	812	1
1	-3.27671906974343	811	1
1	-3.23766782111792	808	1
1	-3.23190129132502	806	1
1	-3.18862701190497	804	1
1	-3.13694472275955	802	1
1	-3.11081406408236	801	1
1	-3.07704068753929	800	1
1	-3.05447574017105	797	1
1	-3.04931087963405	796	1
1	-3.04573062383196	793	1
1	-3.04306793752772	791	1
1	-3.03775902018179	790	1
1	-3.03070696093932	786	1
1	-3.01592581312835	786	1
1	-3.00516906809224	785	1
1	-2.99928380135594	783	1
1	-2.99195800163892	782	1
1	-2.98146385789227	777	1
1	-2.95510473491445	774	1
1	-2.93440166303448	773	1
1	-2.93094409668846	770	1
1	-2.92788893434156	770	1
1	-2.92370447223873	766	1
1	-2.92103754705144	765	1
1	-2.91316912685098	764	1
1	-2.9065908385328	763	1
1	-2.89749243664037	761	1
1	-2.88309319340957	753	1
1	-2.86974418609543	750	1
1	-2.83682212711913	749	1
1	-2.811408457859	748	1
1	-2.80527585929082	745	1
1	-2.7957258815735	744	1
1	-2.7772009935863	742	1
1	-2.75597127223656	732	1
1	-2.73974388532563	727	1
1	-2.72453109040435	726	1
1	-2.71084655165929	725	1
1	-2.68677548734174	716	1
1	-2.66385198616821	714	1
1	-2.64967871241148	713	1
