x	y	key	PANEL	group
-16.3942310876704	0	1	1	27
-9.45870088301301	0	1	1	27
-8.65309790745855	0	1	1	27
-8.43766645542758	0	1	1	27
-8.09561384189331	0	1	1	27
-7.84023186762754	0	1	1	27
-7.74263435940161	0	1	1	27
-7.53917314896426	0	1	1	27
-7.33331539137791	0	1	1	27
-7.23778939437831	0	1	1	27
-7.19062141895515	0	1	1	27
-7.12863778224573	0	1	1	27
-7.10318966268278	0	1	1	27
-7.03268051837817	1	1	1	27
-6.94478828020778	1	1	1	27
-6.89515908009493	1	1	1	27
-6.84132512326178	5	1	1	27
-6.80652935591422	5	1	1	27
-6.80089748421599	5	1	1	27
-6.75748633309481	5	1	1	27
-6.66078983597449	5	1	1	27
-6.60134960122454	5	1	1	27
-6.57207202949322	5	1	1	27
-6.52946216418738	5	1	1	27
-6.45866981218962	5	1	1	27
-6.38050135161373	5	1	1	27
-6.28075956012421	5	1	1	27
-6.15136074147259	5	1	1	27
-6.09054255046389	6	1	1	27
-6.07955259495859	6	1	1	27
-6.05221499488871	6	1	1	27
-6.01503468402176	6	1	1	27
-5.96240901517426	6	1	1	27
-5.92516263571138	6	1	1	27
-5.91014441756224	7	1	1	27
-5.86194658654741	7	1	1	27
-5.78876206144682	7	1	1	27
-5.61650583649613	7	1	1	27
-5.46293736707455	8	1	1	27
-5.42995333959903	8	1	1	27
-5.41159035547402	9	1	1	27
-5.31728993273897	9	1	1	27
-5.20806745756077	11	1	1	27
-5.18237100506228	12	1	1	27
-5.16622352708091	12	1	1	27
-5.13670123219805	12	1	1	27
-5.09872064960995	12	1	1	27
-5.07654165975045	13	1	1	27
-5.03435889423713	13	1	1	27
-4.98764818894503	14	1	1	27
-4.97014528801943	14	1	1	27
-4.91756062934884	14	1	1	27
-4.84132087926002	14	1	1	27
-4.8033229985619	15	1	1	27
-4.79930822678989	16	1	1	27
-4.78848883092519	16	1	1	27
-4.75580680617718	16	1	1	27
-4.70059423503677	16	1	1	27
-4.659969377318	16	1	1	27
-4.5802237916048	16	1	1	27
-4.48277132240851	16	1	1	27
-4.43031928019888	16	1	1	27
-4.40256762825258	17	1	1	27
-4.39594453068825	18	1	1	27
-4.37760035568186	18	1	1	27
-4.36462177969032	18	1	1	27
-4.36120169331997	18	1	1	27
-4.34363261366655	18	1	1	27
-4.30971461264683	19	1	1	27
-4.28418716003662	19	1	1	27
-4.2724173341131	19	1	1	27
-4.24325023904567	19	1	1	27
-4.21136674032318	19	1	1	27
-4.19782588585551	19	1	1	27
-4.1747090704706	19	1	1	27
-4.14937996493312	19	1	1	27
-4.13956370748717	19	1	1	27
-4.13443464806273	19	1	1	27
-4.12970601273613	19	1	1	27
-4.12677715225086	19	1	1	27
-4.1060016952742	19	1	1	27
-4.06339004511735	19	1	1	27
-4.0383215527663	19	1	1	27
-4.0338040965323	19	1	1	27
-4.02612196915842	19	1	1	27
-4.00525084400869	19	1	1	27
-3.98813455911521	21	1	1	27
-3.97512971482668	22	1	1	27
-3.94998172979093	23	1	1	27
-3.9354429228112	23	1	1	27
-3.92297853496231	24	1	1	27
-3.90979224277712	24	1	1	27
-3.89292476913192	24	1	1	27
-3.87663134891482	25	1	1	27
-3.87436384004867	26	1	1	27
-3.84854085751183	26	1	1	27
-3.81281911889321	26	1	1	27
-3.79162530449795	26	1	1	27
-3.78178709446412	27	1	1	27
-3.7703092670585	27	1	1	27
-3.74743400470143	29	1	1	27
