x	y	key	PANEL	group
-16.3942310876704	0	1	1	34
-5.09770717596157	0	1	1	34
-4.99115356892835	0	1	1	34
-4.91042471000665	0	1	1	34
-4.81252862044613	0	1	1	34
-4.75011331293256	0	1	1	34
-4.60159038134268	1	1	1	34
-4.46902838204627	1	1	1	34
-4.3588203349204	1	1	1	34
-4.25978847565906	1	1	1	34
-4.1216480422342	1	1	1	34
-3.98878804717958	1	1	1	34
-3.94464974333972	1	1	1	34
-3.90500647656738	1	1	1	34
-3.88586830756439	1	1	1	34
-3.79867374708195	1	1	1	34
-3.69607882660251	1	1	1	34
-3.62828898094249	2	1	1	34
-3.58638129765529	2	1	1	34
-3.54655310431733	2	1	1	34
-3.46149161188311	2	1	1	34
-3.39891756146316	2	1	1	34
-3.37895033401944	2	1	1	34
-3.3684519279939	2	1	1	34
-3.36323410744431	2	1	1	34
-3.316843791411	2	1	1	34
-3.2225227612854	2	1	1	34
-3.17086642728261	2	1	1	34
-3.16621904118953	2	1	1	34
-3.159098607372	2	1	1	34
-3.15185559770901	2	1	1	34
-3.13013705591689	2	1	1	34
-3.08639117061324	2	1	1	34
-3.0566085486398	2	1	1	34
-3.04654305545547	2	1	1	34
-3.03100576916999	3	1	1	34
-3.00869145857385	3	1	1	34
-2.99425076134392	3	1	1	34
-2.9778049060455	3	1	1	34
-2.95970794837515	3	1	1	34
-2.95322401625835	3	1	1	34
-2.91860809367491	3	1	1	34
-2.86265812156446	3	1	1	34
-2.82239528984575	3	1	1	34
-2.79297180974149	3	1	1	34
-2.77452865570642	3	1	1	34
-2.75337263041324	4	1	1	34
-2.73463914886954	4	1	1	34
-2.70572716678211	4	1	1	34
-2.67528317875144	4	1	1	34
-2.66835463982666	5	1	1	34
-2.64799640037617	5	1	1	34
-2.61001820889138	5	1	1	34
-2.5701567802057	5	1	1	34
-2.54458916491348	5	1	1	34
-2.53641753982502	5	1	1	34
-2.53220500655799	5	1	1	34
-2.52775626433615	5	1	1	34
-2.52438414762051	5	1	1	34
-2.52281007091765	5	1	1	34
-2.51539969028453	6	1	1	34
-2.50414704315595	6	1	1	34
-2.49622322189895	6	1	1	34
-2.48007053125314	6	1	1	34
-2.45367664004954	6	1	1	34
-2.41738775677124	6	1	1	34
-2.35902168383844	6	1	1	34
-2.30896113399615	6	1	1	34
-2.29355246234668	6	1	1	34
-2.27329976219312	6	1	1	34
-2.24623238076636	6	1	1	34
-2.21254140537068	6	1	1	34
-2.18236961797995	6	1	1	34
-2.17501024335325	6	1	1	34
-2.16507141721128	6	1	1	34
-2.14587527327509	6	1	1	34
-2.13238926044348	6	1	1	34
-2.12314580610971	6	1	1	34
-2.10374393816003	6	1	1	34
-2.08431311399734	6	1	1	34
-2.07273660106518	6	1	1	34
-2.05824103125654	6	1	1	34
-2.0466177307815	6	1	1	34
-2.04468084392902	6	1	1	34
-2.04176274241566	6	1	1	34
-2.03521378310317	6	1	1	34
-2.02864969432825	7	1	1	34
-2.02359129844809	7	1	1	34
-2.01872641201007	7	1	1	34
-2.01506962150525	7	1	1	34
-2.00342474486687	7	1	1	34
-1.99096245672792	8	1	1	34
-1.98416647863959	8	1	1	34
-1.97723269209976	8	1	1	34
-1.96943283798183	8	1	1	34
-1.96387317911176	8	1	1	34
-1.96313034058925	8	1	1	34
-1.93448369120139	8	1	1	34
-1.90585025964026	8	1	1	34
-1.90177812129162	8	1	1	34
-1.89446806908854	8	1	1	34
-1.88172815454718	8	1	1	34
-1.86889032773941	8	1	1	34
-1.85598731459446	7	1	1	34
-1.83892144508475	7	1	1	34
