group	xmin	xmax
1	-16.3942310876704	-8.27864341318952
2	-5.91906571152697	-5.63984896662701
3	-4.62806764536079	-4.41249089093297
4	-4.04362807738283	-4.03734404089003
5	-3.91971345315404	-3.91948389119813
6	-3.68896105077797	-3.68169381598563
7	-3.54446310872553	-3.53977985016717
8	-3.41600717059514	-3.41350637790752
9	-3.30282701726953	-3.28781898256811
10	-3.24006046536456	-3.21747419607658
11	-3.04471441092215	-3.02794237752746
12	-2.94846417538319	-2.94166389568445
13	-2.88389688208903	-2.87914950116983
14	-2.77174425111959	-2.75385584324977
15	-2.70163318019092	-2.6980359012601
16	-2.60602563408149	-2.60554694682928
17	-2.54592667405145	-2.53318203002045
18	-2.4568775087016	-2.45143571422835
19	-2.37185692796425	-2.36789639529615
20	-2.30401497618869	-2.30180780199995
21	-2.25235020334125	-2.24633009952945
22	-2.17813355110107	-2.15708621642379
23	-2.07769280484152	-2.07181062441506
24	-2.01977555554729	-2.00497004082014
25	-1.94330488845661	-1.9416582948749
26	-1.90413003833825	-1.89118727392515
27	-1.8309748345854	-1.78803853913435
28	-1.76613490681111	-1.74922678897269
29	-1.69785899196993	-1.6905749872733
30	-1.61870961345193	-1.61739705763678
31	-1.60681171341022	-1.60014369710108
32	-1.56652824614721	-1.55657493427104
33	-1.51940407215702	-1.51802703744225
34	-1.47281992112098	-1.47148836576344
35	-1.40349115995703	-1.40144373671308
36	-1.35149878428428	-1.34622199863809
37	-1.31042903549185	-1.29797506485209
38	-1.26753828842876	-1.26750391085584
39	-1.20537752489913	-1.19539123017423
40	-1.15962803179837	-1.15709284362008
41	-1.09021068040935	-1.08335683244994
42	-1.05390682288251	-1.05373735480423
43	-0.987279031588109	-0.98122836207675
44	-0.949235644805226	-0.9492230207298
45	-0.894028928203475	-0.889226515082266
46	-0.847988821704716	-0.847629370319755
47	-0.836775700360045	-0.836110016968885
48	-0.776272334619844	-0.770680062311529
49	-0.74255757558274	-0.737362524121345
50	-0.70630951906878	-0.705856761687286
51	-0.62677299708343	-0.623726897404255
52	-0.56021632180178	-0.559011557966015
53	-0.494698236606745	-0.48776103054034
54	-0.423955714256234	-0.41543182459516
55	-0.380585342333465	-0.379304458451295
56	-0.328064645380501	-0.31743813793087
57	-0.277523841195439	-0.27666601755053
58	-0.205337825273364	-0.205165443225134
59	-0.15235846195251	-0.14694267244813
60	-0.112094236292705	-0.105592046095909
61	-0.0464007563911046	-0.0359033432712996
62	0.0320659204201306	0.0324333410273638
63	0.0798518956394654	0.0859321996449296
64	0.136059855604946	0.139386871823579
65	0.163993769963781	0.168450195976009
66	0.192756758878415	0.195982789546333
67	0.267053500459395	0.268802784333076
68	0.338976027714176	0.35639600732215
69	0.430158382430905	0.439333423729
70	0.504580227563721	0.517684749199725
71	0.583550880185845	0.586670572191103
72	0.726274787512866	0.736584478247465
