x	y	key	PANEL	group
-16.3942310876704	0	1	1	2
-9.51392461181864	0	1	1	2
-9.00722262138369	0	1	1	2
-8.409967394704	0	1	1	2
-8.14515542779807	0	1	1	2
-8.03720769052102	0	1	1	2
-7.98119665000286	0	1	1	2
-7.91504050760793	0	1	1	2
-7.81413762523829	0	1	1	2
-7.74016059563187	0	1	1	2
-7.69463847306412	0	1	1	2
-7.66958132387805	0	1	1	2
-7.52039167898329	0	1	1	2
-7.38133607177556	1	1	1	2
-7.3597911414083	1	1	1	2
-7.26063791660765	1	1	1	2
-7.16917993136974	1	1	1	2
-7.11283604002154	1	1	1	2
-7.04171486327074	1	1	1	2
-7.0132906541778	1	1	1	2
-7.0035650947971	1	1	1	2
-6.95569234598769	1	1	1	2
-6.83390744905139	1	1	1	2
-6.73512272951358	1	1	1	2
-6.71825811050392	1	1	1	2
-6.7172284755274	1	1	1	2
-6.70705025772959	1	1	1	2
-6.6971415348364	1	1	1	2
-6.69391779035029	1	1	1	2
-6.63874300510813	1	1	1	2
-6.536323142334	1	1	1	2
-6.45538030317255	1	1	1	2
-6.40955445800911	1	1	1	2
-6.38232422891819	1	1	1	2
-6.26901328825913	1	1	1	2
-6.14479716797023	1	1	1	2
-6.12103658098684	1	1	1	2
-6.11923136855162	1	1	1	2
-6.06141694639034	1	1	1	2
-5.9897030977792	1	1	1	2
-5.96334079701592	1	1	1	2
-5.92515061652919	1	1	1	2
-5.86259989890908	1	1	1	2
-5.79504870763434	1	1	1	2
-5.75253012970853	1	1	1	2
-5.66953061037124	1	1	1	2
-5.58086901632951	1	1	1	2
-5.56266941136116	2	1	1	2
-5.55454052866315	4	1	1	2
-5.54566540042401	5	1	1	2
-5.51311526928202	5	1	1	2
-5.4722714844478	6	1	1	2
-5.45687827567891	6	1	1	2
-5.44400094104848	6	1	1	2
-5.42973624750118	7	1	1	2
-5.42364105567902	8	1	1	2
-5.41720193823184	8	1	1	2
-5.37333957557206	9	1	1	2
-5.3180104454837	9	1	1	2
-5.29279400643111	9	1	1	2
-5.20279478868337	9	1	1	2
-5.09898010102429	9	1	1	2
-5.0448475377711	9	1	1	2
-4.99072187101374	9	1	1	2
-4.96795833465859	9	1	1	2
-4.96258055992844	9	1	1	2
-4.95603300367141	9	1	1	2
-4.93965267420309	9	1	1	2
-4.91414143261134	9	1	1	2
-4.89752193146265	10	1	1	2
-4.88158088062269	10	1	1	2
-4.87010239134708	10	1	1	2
-4.84630935234685	10	1	1	2
-4.81522167996537	10	1	1	2
-4.80758210102121	10	1	1	2
-4.8055684606183	10	1	1	2
-4.78463033856696	11	1	1	2
-4.74979059279278	11	1	1	2
-4.71938060204465	11	1	1	2
-4.68308961913332	11	1	1	2
-4.64385286626486	11	1	1	2
-4.5825401306741	11	1	1	2
-4.52153176211701	11	1	1	2
-4.49818654332855	11	1	1	2
-4.45434986127504	11	1	1	2
-4.41131609775531	11	1	1	2
-4.40395638303839	11	1	1	2
-4.39535709107546	11	1	1	2
-4.38770776060506	11	1	1	2
