group	xmin	xmax
1	-16.3942310876704	-7.45106494410558
2	-4.71178847450821	-4.68723221832559
3	-4.28825312008031	-4.2664988008697
4	-4.2664988008697	-4.07970356119775
5	-4.01054412893876	-3.96481577156079
6	-3.92243693680022	-3.78128249164781
7	-3.92243693680022	-3.78128249164781
8	-3.78128249164781	-3.74141469023386
9	-3.66885179839014	-3.66061356430093
10	-3.66061356430093	-3.61592024853192
11	-3.58595032110652	-3.55402744235893
12	-3.55402744235893	-3.275035717128
13	-3.275035717128	-3.10081507292188
14	-3.10081507292188	-3.06065582496108
15	-3.03650423318018	-3.00498373000117
16	-3.00498373000117	-2.91368597492908
17	-3.00498373000117	-2.91368597492908
18	-2.91368597492908	-2.88630801514682
19	-2.88630801514682	-2.85884923957642
20	-2.85884923957642	-2.82128720587349
21	-2.82128720587349	-2.51721879038642
22	-2.44439447173618	-2.43635973232112
23	-2.43635973232112	-2.42212333054617
24	-2.42212333054617	-2.23099388165724
25	-2.22334110123652	-2.2015806732591
26	-2.2015806732591	-2.13629107345343
27	-2.0458442972046	-2.04348758973755
28	-1.99360545440972	-1.93241495238694
29	-1.9170113710886	-1.87604284958866
30	-1.84773881109092	-1.65489535455753
31	-1.64395721855894	-1.57808800268942
32	-1.57808800268942	-1.51924562189701
33	-1.49018012495509	-1.4718696387011
34	-1.4580769644962	-1.43928696461707
35	-1.43707789497923	-1.40500918597041
36	-1.3890853992644	-1.38809383194353
37	-1.38214071440043	-1.36130072567361
38	-1.3272609214502	-1.3038726587335
39	-1.3038726587335	-1.23275643506041
40	-1.21721556120545	-1.21537737670933
41	-1.15209518211073	-1.06528755261352
42	-0.982512411909685	-0.949380732943604
43	-0.895629381265685	-0.870569790704705
44	-0.85603422567395	-0.797057189891884
45	-0.765599769607624	-0.762419487573187
46	-0.684401479023689	-0.681599336176038
47	-0.681599336176038	-0.66412779918336
48	-0.601985315201899	-0.577543693031
49	-0.554749184687989	-0.498830329256199
50	-0.487331531900466	-0.4812386411825
51	-0.339049683050355	-0.33292395082853
52	-0.124690724555489	-0.121809482991969
53	0.00154710022967031	0.0235842761454848
54	0.0729593521565697	0.121809482991971
55	0.357876946619456	0.393861515860856
56	0.45201522933294	0.460499066422354
57	0.4812386411825	0.487331531900464
58	0.55474918468799	0.55872966431895
59	0.573962714259965	0.580259222256601
60	0.661200527994652	0.78439694571685
61	0.883451195963101	0.949380732943606
62	1.03093506188767	1.13938362971635
63	1.13938362971635	1.15731445697056
64	1.15731445697056	1.20611434798691
65	1.20611434798691	1.2697396648412
66	1.2815542064481	1.3847336955373
67	1.3847336955373	1.46497071957755
68	1.53570362462285	1.54811121634798
69	1.54811121634798	1.61873836056766
70	1.61873836056766	1.63343046478155
71	1.61873836056766	1.63343046478155
72	1.63343046478155	1.75522069172488
73	1.75522069172488	1.76234233097861
74	1.8901639429871	1.92408121883519
75	1.92408121883519	1.9544121322779
