group	xmin	xmax
1	-16.3942310876704	-10.1607184242604
2	-6.55981023723739	-6.52911004409249
3	-5.49792626918958	-5.46673644892025
4	-5.15878648711393	-5.10441412047827
5	-4.82509170625728	-4.80670716621427
6	-4.4407968694447	-4.42925097609436
7	-4.17869802056068	-4.1568989698677
8	-4.02761275167569	-4.02082168196096
9	-3.7448564884274	-3.73395181838062
10	-3.6379309184173	-3.6318398256848
11	-3.49504206638693	-3.4832615029876
12	-3.37082797981965	-3.31852538208492
13	-3.26543630655739	-3.26217798386212
14	-3.18171851084299	-3.16024665486259
15	-3.01197411974927	-2.99679009387077
16	-2.94994340340019	-2.94522178506276
17	-2.85681171906629	-2.83629570695581
18	-2.70934137188039	-2.70202870796483
19	-2.60633232764426	-2.59265673360553
20	-2.54527969231686	-2.54115772782746
21	-2.49444410893541	-2.48772578899289
22	-2.42643744372658	-2.39553719551615
23	-2.32688824709458	-2.31783782108007
24	-2.26005159132385	-2.23958858748469
25	-2.18358454870648	-2.16438954658416
26	-2.10657350936646	-2.07906339453306
27	-2.05583378118319	-2.03539043373099
28	-1.99595030982002	-1.99423844072025
29	-1.95174979783386	-1.94182422979084
30	-1.85569287319663	-1.83835627947918
31	-1.81144330965308	-1.8100802962329
32	-1.7370051603199	-1.72719073356096
33	-1.65462541907172	-1.64067675562902
34	-1.56251702410857	-1.54992836575469
35	-1.49097123112033	-1.4902512240479
36	-1.44224192008677	-1.42958055064757
37	-1.39409416881939	-1.38762229702694
38	-1.33824403228792	-1.33513715713334
39	-1.29400040466706	-1.2915755045855
40	-1.24033209936095	-1.21335419497587
41	-1.14347003019787	-1.1384293020025
42	-1.07555388299921	-1.0739375819177
43	-1.02063077559584	-1.01572017202798
44	-0.986003606062321	-0.97588460179709
45	-0.89182080461834	-0.887315629919915
46	-0.808347163242519	-0.797429254491002
47	-0.706706587564099	-0.702746157175341
48	-0.635088742727496	-0.623079805953401
49	-0.539995514415935	-0.533484486930998
50	-0.492633681141535	-0.49092596912406
51	-0.39507315591191	-0.383782677007139
52	-0.320547003021829	-0.308436206462844
53	-0.23007924738021	-0.228340020128869
54	-0.154292102533089	-0.153828227252374
55	-0.024406730452375	-0.0217606282043334
56	0.0623533627616899	0.0686578896345242
57	0.1029378612267	0.123155847772885
58	0.17748593850764	0.178695341353986
59	0.289200087576685	0.294546748142345
60	0.322542247214015	0.333032194129549
61	0.395073155911909	0.411852581222041
62	0.460118425606867	0.4627084025679
63	0.55101809439625	0.55449886218023
64	0.690027780842746	0.706706587564101
65	0.808347163242519	0.820333244003418
66	0.848375495155009	0.872149794443425
67	0.95575271696935	0.965089451366151
68	1.02815224644669	1.0296776435011
69	1.07899241277163	1.08127842411434
70	1.15137605329961	1.15630364801309
71	1.23273164712342	1.2652204443232
72	1.39865488723877	1.4086084165318
73	1.48185305962494	1.49097123112034
74	1.5439684371191	1.57183858739356
75	1.65248011085141	1.65276404862147
76	1.74791324799325	1.74826138496386
77	1.79407100224932	1.79458394831399
78	1.82773063289076	1.82919188048985
79	1.84822706854801	1.84852392553745
80	1.86591018754377	1.8765461677128
81	1.92572100655441	1.98685858754054
82	2.03623162872815	2.05303270726042
83	2.11901109712132	2.12967534729321
84	2.1582557914946	2.17705481826657
85	2.27224924903165	2.28631451133866
86	2.38372657799604	2.40703388746294
87	2.422486898397	2.43462422823941
88	2.51760062492776	2.53875312549131
89	2.58413721914784	2.59024389865768
90	2.62723916601371	2.71975694925289
