group	xmin	xmax
1	-16.3942310876704	-7.8646324366404
2	-6.11996012630232	-5.86124537833099
3	-5.80945997342101	-5.7310664669134
4	-5.7310664669134	-5.71952713882375
5	-5.71952713882375	-5.52029994668983
6	-5.2457245125513	-5.07182076171471
7	-4.2253480159654	-4.08875712760311
8	-3.98220220846735	-3.95112824413671
9	-3.95112824413671	-3.89325319824829
10	-3.89325319824829	-3.88881582466328
11	-3.65475298434253	-3.62667501451834
12	-3.48713668840881	-3.43519348689087
13	-3.43519348689087	-3.30094956462329
14	-3.30094956462329	-3.26182822205324
15	-3.26182822205324	-3.14368429532029
16	-3.14368429532029	-3.06684311068664
17	-2.89118793979734	-2.70583293394228
18	-2.70583293394228	-2.66689861641531
19	-2.59001364766141	-2.31661122851073
20	-2.28339575384581	-2.2649873192605
21	-2.2649873192605	-2.23323265261467
22	-2.22046039742863	-2.17686828933105
23	-2.1628041844702	-2.12297763283788
24	-2.01539282483636	-1.97233596645243
25	-1.97233596645243	-1.88244212596815
26	-1.88244212596815	-1.87562135648265
27	-1.85388101977885	-1.84539286502693
28	-1.73019967683813	-1.6154265895198
29	-1.47541033548555	-1.4600750753534
30	-1.42386160390291	-1.41976937046885
31	-1.36882224879251	-1.34191053173554
32	-1.29627932462893	-1.25586149442685
33	-1.23891522054647	-1.20344875855507
34	-1.18228564292296	-1.15412334461285
35	-1.10513885787315	-1.07756430201736
36	-0.984501106369819	-0.979193660178044
37	-0.963183691934596	-0.961932364669735
38	-0.944814961594455	-0.892374186864251
39	-0.865366196323381	-0.82869474379981
40	-0.758456738584661	-0.72382045379865
41	-0.7079268091285	-0.699094593136001
42	-0.554504832706813	-0.53888734152779
43	-0.399635175671751	-0.339305360061355
44	-0.30357101985253	-0.180631774159936
45	-0.0123901063750296	0.0123901063750296
46	0.0123901063750296	0.0624666350335996
47	0.0624666350335996	0.158696615217249
48	0.158696615217249	0.170905467566101
49	0.170905467566101	0.180631774159934
50	0.180631774159934	0.30357101985253
51	0.30357101985253	0.339305360061356
52	0.339305360061356	0.399635175671749
53	0.399635175671749	0.51159261828785
54	0.399635175671749	0.51159261828785
55	0.520099502867099	0.53888734152779
56	0.699094593136	0.702067344681449
57	0.702067344681449	0.7079268091285
58	0.72382045379865	0.892374186864251
59	0.892374186864251	0.944814961594455
60	1.0000744281892	1.0115972019851
61	1.0115972019851	1.10513885787315
62	1.0115972019851	1.10513885787315
63	1.10513885787315	1.15412334461285
64	1.15412334461285	1.25586149442685
65	1.25586149442685	1.2880859009097
66	1.3221845526804	1.4098188425972
67	1.3221845526804	1.4098188425972
68	1.4098188425972	1.41282171413595
69	1.4098188425972	1.41282171413595
70	1.4098188425972	1.41282171413595
71	1.41282171413595	1.44196268364851
72	1.41282171413595	1.44196268364851
73	1.44196268364851	1.44356378583965
74	1.44196268364851	1.44356378583965
75	1.44356378583965	1.45940008669855
76	1.44356378583965	1.45940008669855
77	1.45940008669855	1.49094281226995
78	1.49094281226995	1.52522143178315
79	1.57232975473805	1.60541433594995
80	1.57232975473805	1.60541433594995
81	1.60541433594995	1.8038200126405
82	1.8038200126405	1.89499455163985
83	1.89499455163985	1.9623774819094
84	1.9623774819094	2.13858576533235
85	2.13858576533235	2.19028164729223
86	2.19028164729223	2.3590526486645
87	2.3590526486645	2.4139304836891
88	2.3590526486645	2.4139304836891
89	2.4139304836891	2.58781315327249
90	2.4139304836891	2.58781315327249
91	2.58781315327249	2.6653121433152
92	2.58781315327249	2.6653121433152
93	2.6653121433152	2.75904746522665
94	2.82713693383576	2.95344544530765
95	2.95344544530765	2.99248708663666
96	2.99248708663666	3.25853910097779
97	3.29428795152805	3.39629941868691
98	3.39629941868691	3.39844034757145
99	3.39844034757145	3.42559370544255
100	3.42559370544255	3.6252950387034
101	4.3420159153923	12.0255107838507
102	-16.3942310876704	-8.1146324366404
103	-6.11996012630232	-5.86124537833099
104	-5.80945997342101	-5.7310664669134
105	-5.7310664669134	-5.71952713882375
106	-5.71952713882375	-5.52029994668983
107	-5.2457245125513	-5.07182076171471
108	-4.2253480159654	-4.08875712760311
109	-3.98220220846735	-3.95112824413671
110	-3.95112824413671	-3.89325319824829
111	-3.89325319824829	-3.88881582466328
112	-3.88881582466328	-3.68917501451834
113	-3.48713668840881	-3.43519348689087
114	-3.43519348689087	-3.31684311068664
115	-3.30094956462329	-3.26182822205324
116	-3.26182822205324	-3.14368429532029
117	-3.14368429532029	-3.0104665372543
118	-2.89118793979734	-2.85439861641531
119	-2.85439861641531	-2.70583293394228
120	-2.34589575384581	-2.31661122851073
121	-2.31661122851073	-2.29573265261467
122	-2.28296039742863	-2.2649873192605
123	-2.17686828933105	-2.1628041844702
124	-2.12297763283788	-2.01539282483636
125	-2.01539282483636	-1.98019967683813
126	-1.98019967683813	-1.97233596645243
127	-1.97233596645243	-1.96501364766141
128	-1.87562135648265	-1.85388101977885
129	-1.58602023366635	-1.57232975473805
130	-1.44356378583965	-1.43132224879251
131	-1.41976937046885	-1.40441053173554
132	-1.3221845526804	-1.29627932462893
133	-1.25744212596815	-1.25586149442685
134	-1.13171900341928	-1.10513885787315
135	-1.05286619632338	-1.0256836919346
136	-1.02074540253029	-1.0000744281892
137	-0.979193660178044	-0.968876942889741
138	-0.944814961594455	-0.943948780460641
139	-0.801271400403779	-0.787004343697189
140	-0.699094593136001	-0.693135030837581
141	-0.55728564292296	-0.554504832706813
142	-0.53888734152779	-0.51159261828785
143	-0.312466635033601	-0.30357101985253
144	-0.30357101985253	-0.243131774159936
145	-0.22119661521725	-0.20369474379981
146	-0.19989010637503	-0.1875333649664
147	-0.1875333649664	-0.17510989362497
148	-0.0988204537986501	0.0961966152172486
149	0.0961966152172486	0.108405467566101
150	0.108405467566101	0.118131774159934
151	0.118131774159934	0.270099502867099
152	0.30357101985253	0.339305360061356
153	0.30357101985253	0.339305360061356
154	0.339305360061356	0.399635175671749
155	0.399635175671749	0.51159261828785
156	0.51159261828785	0.53888734152779
157	0.53888734152779	0.639567344681449
158	0.699094593136	0.7079268091285
159	0.892374186864251	0.944814961594455
160	0.944814961594455	1.0000744281892
161	1.0000744281892	1.0115972019851
162	1.0115972019851	1.0380859009097
163	1.0380859009097	1.10513885787315
164	1.10513885787315	1.15412334461285
165	1.15412334461285	1.25446268364851
166	1.15412334461285	1.25446268364851
167	1.15412334461285	1.25446268364851
168	1.25446268364851	1.25586149442685
169	1.25586149442685	1.3221845526804
170	1.3221845526804	1.3473188425972
171	1.3221845526804	1.3473188425972
172	1.3473188425972	1.34882045379865
173	1.3473188425972	1.34882045379865
174	1.34882045379865	1.41282171413595
175	1.41282171413595	1.44356378583965
176	1.44356378583965	1.45940008669855
177	1.44356378583965	1.45940008669855
178	1.45940008669855	1.49094281226995
179	1.49094281226995	1.52522143178315
180	1.52522143178315	1.54291433594995
181	1.54291433594995	1.5538200126405
182	1.54291433594995	1.5538200126405
183	1.57232975473805	1.89499455163985
184	1.89499455163985	1.9623774819094
185	1.9623774819094	2.13858576533235
186	2.13858576533235	2.1639304836891
187	2.13858576533235	2.1639304836891
188	2.19028164729223	2.3590526486645
189	2.3590526486645	2.52531315327249
190	2.3590526486645	2.52531315327249
191	2.3590526486645	2.52531315327249
192	2.52531315327249	2.6653121433152
193	2.52531315327249	2.6653121433152
194	2.6653121433152	2.75904746522665
195	2.82713693383576	2.95344544530765
196	2.95344544530765	2.99248708663666
197	2.99248708663666	3.20879941868691
198	3.25853910097779	3.29428795152805
199	3.29428795152805	3.33594034757145
200	3.33594034757145	3.42559370544255
201	3.42559370544255	3.5627950387034
202	4.0920159153923	12.0255107838507
