group	x	y	PANEL
1	-16.3942310876704	212	1
1	-5.09770717596157	211	1
1	-4.99115356892835	210	1
1	-4.91042471000665	209	1
1	-4.81252862044613	208	1
1	-4.75011331293256	207	1
1	-4.60159038134268	207	1
1	-4.46902838204627	205	1
1	-4.3588203349204	204	1
1	-4.25978847565906	203	1
1	-4.1216480422342	202	1
1	-3.98878804717958	200	1
1	-3.94464974333972	199	1
1	-3.90500647656738	198	1
1	-3.88586830756439	197	1
1	-3.79867374708195	196	1
1	-3.69607882660251	195	1
1	-3.62828898094249	195	1
1	-3.58638129765529	194	1
1	-3.54655310431733	193	1
1	-3.46149161188311	192	1
1	-3.39891756146316	191	1
1	-3.37895033401944	190	1
1	-3.3684519279939	189	1
1	-3.36323410744431	188	1
1	-3.316843791411	187	1
1	-3.2225227612854	186	1
1	-3.17086642728261	185	1
1	-3.16621904118953	184	1
1	-3.159098607372	183	1
1	-3.15185559770901	182	1
1	-3.13013705591689	181	1
1	-3.08639117061324	180	1
1	-3.0566085486398	179	1
1	-3.04654305545547	178	1
1	-3.03100576916999	178	1
1	-3.00869145857385	177	1
1	-2.99425076134392	176	1
1	-2.9778049060455	175	1
1	-2.95970794837515	174	1
1	-2.95322401625835	173	1
1	-2.91860809367491	172	1
1	-2.86265812156446	171	1
1	-2.82239528984575	170	1
1	-2.79297180974149	169	1
1	-2.77452865570642	168	1
1	-2.75337263041324	168	1
1	-2.73463914886954	167	1
1	-2.70572716678211	168	1
1	-2.67528317875144	167	1
1	-2.66835463982666	167	1
1	-2.64799640037617	166	1
1	-2.61001820889138	165	1
1	-2.5701567802057	164	1
1	-2.54458916491348	163	1
1	-2.53641753982502	162	1
1	-2.53220500655799	161	1
1	-2.52775626433615	160	1
1	-2.52438414762051	159	1
1	-2.52281007091765	158	1
1	-2.51539969028453	157	1
1	-2.50414704315595	156	1
1	-2.49622322189895	155	1
1	-2.48007053125314	153	1
1	-2.45367664004954	152	1
1	-2.41738775677124	151	1
1	-2.35902168383844	150	1
1	-2.30896113399615	149	1
1	-2.29355246234668	150	1
1	-2.27329976219312	149	1
1	-2.24623238076636	150	1
1	-2.21254140537068	149	1
1	-2.18236961797995	148	1
1	-2.17501024335325	147	1
1	-2.16507141721128	146	1
1	-2.14587527327509	145	1
1	-2.13238926044348	144	1
1	-2.12314580610971	143	1
1	-2.10374393816003	142	1
1	-2.08431311399734	141	1
1	-2.07273660106518	140	1
1	-2.05824103125654	139	1
1	-2.0466177307815	138	1
1	-2.04468084392902	136	1
1	-2.04176274241566	134	1
1	-2.03521378310317	133	1
1	-2.02864969432825	133	1
1	-2.02359129844809	132	1
1	-2.01872641201007	131	1
1	-2.01506962150525	132	1
1	-2.00342474486687	131	1
1	-1.99096245672792	130	1
1	-1.98416647863959	128	1
1	-1.97723269209976	127	1
1	-1.96943283798183	126	1
1	-1.96387317911176	125	1
1	-1.96313034058925	124	1
1	-1.93448369120139	123	1
1	-1.90585025964026	122	1
1	-1.90177812129162	121	1
1	-1.89446806908854	120	1
1	-1.88172815454718	119	1
1	-1.86889032773941	118	1
1	-1.85598731459446	120	1
1	-1.83892144508475	119	1
1	-1.83029380305622	120	1
1	-1.82391484552599	118	1
1	-1.80370854689897	117	1
1	-1.78809928266864	116	1
1	-1.77596864965534	115	1
1	-1.74773642512724	114	1
1	-1.72705557901174	112	1
1	-1.70673953938311	111	1
1	-1.68372437178726	110	1
1	-1.668499682902	109	1
1	-1.65797808786953	108	1
1	-1.62931883938577	107	1
1	-1.59738258215885	106	1
1	-1.57957260529552	105	1
1	-1.55764755271495	104	1
1	-1.5474400626853	103	1
1	-1.52539706470903	102	1
1	-1.46333307298639	101	1
1	-1.41955238814582	100	1
1	-1.41492976152821	99	1
1	-1.4085491938408	98	1
1	-1.39819142752502	97	1
1	-1.37837120141132	96	1
1	-1.35949223224819	94	1
1	-1.35243548586806	93	1
1	-1.34623903066218	92	1
1	-1.33840315348844	91	1
1	-1.33091774357275	90	1
1	-1.32196328836408	89	1
1	-1.3080874371668	88	1
1	-1.28837730705036	87	1
1	-1.27256524052883	86	1
1	-1.24677709089288	85	1
1	-1.22396747773869	84	1
1	-1.22192008485889	83	1
1	-1.22000802456991	82	1
1	-1.21636203875126	81	1
1	-1.21174284594598	80	1
1	-1.20798246101614	79	1
1	-1.19363513695752	78	1
1	-1.17775843771347	77	1
1	-1.16104183567339	76	1
1	-1.1340457257592	75	1
1	-1.11694877959153	74	1
1	-1.11245364197764	73	1
1	-1.10808865267299	72	1
1	-1.10047818003561	71	1
1	-1.09296928944513	70	1
1	-1.08562241606299	69	1
1	-1.07894158182453	68	1
1	-1.06954897187114	67	1
1	-1.0554366200185	66	1
1	-1.04646263292718	65	1
1	-1.02859818870025	64	1
1	-1.00579583760021	63	1
1	-0.998464059623652	55	1
1	-0.989578626481753	54	1
1	-0.96937907106197	53	1
1	-0.943933804053601	53	1
1	-0.924380007734383	52	1
1	-0.91566061383948	52	1
1	-0.906818637612042	51	1
1	-0.885395905594713	51	1
1	-0.857312369959645	50	1
1	-0.841158419919993	49	1
1	-0.836136938272148	48	1
1	-0.82925086281031	47	1
1	-0.82453143683923	46	1
1	-0.814100017638145	45	1
1	-0.803267395319912	44	1
1	-0.799211824956889	43	1
1	-0.790722593645122	42	1
1	-0.780527571427123	41	1
1	-0.759219087365693	40	1
1	-0.71966693037149	39	1
1	-0.69156171336197	38	1
1	-0.647247582508095	37	1
1	-0.607234760216787	36	1
1	-0.603056518703597	35	1
1	-0.595340570769853	34	1
1	-0.565342238076888	33	1
1	-0.539380115026045	32	1
1	-0.53826957057634	31	1
1	-0.528764527135039	30	1
1	-0.505890800752065	29	1
1	-0.49045191381996	28	1
1	-0.4883932384352	27	1
1	-0.469749402322162	26	1
1	-0.442522817147676	25	1
1	-0.427213557003933	24	1
1	-0.42064985192679	23	1
1	-0.409947327779282	22	1
1	-0.393848447547575	21	1
1	-0.379410661743733	20	1
1	-0.36715796326811	19	1
1	-0.341410068511612	18	1
1	-0.319365017638915	17	1
1	-0.296539775591453	16	1
1	-0.264241315134416	15	1
1	-0.252351004634325	14	1
1	-0.235043055875514	13	1
1	-0.205996491082415	12	1
1	-0.125842852785303	11	1
1	-0.0416743878126544	10	1
1	8.88178419700125e-16	9	1
1	0.0416743878126553	9	1
1	0.0803668053412174	10	1
1	0.146664936051295	9	1
1	0.205996491082415	10	1
1	0.235043055875515	10	1
1	0.252351004634325	10	1
1	0.262101547164463	10	1
1	0.271874966111808	10	1
1	0.296539775591453	10	1
1	0.319365017638916	10	1
1	0.341410068511613	10	1
1	0.367157963268109	10	1
1	0.379410661743732	11	1
1	0.392028497868192	12	1
1	0.398216629617982	12	1
1	0.409947327779282	14	1
1	0.420649851926791	15	1
1	0.427213557003933	15	1
1	0.442522817147675	16	1
1	0.469749402322162	16	1
1	0.503832125367305	18	1
1	0.52876452713504	18	1
1	0.538269570576341	18	1
1	0.539380115026045	18	1
1	0.542431417976385	20	1
1	0.563525403794892	19	1
1	0.586436223895395	20	1
1	0.5943821728511	20	1
1	0.598562816666518	19	1
1	0.603056518703598	19	1
1	0.607234760216788	19	1
1	0.613271551809616	19	1
1	0.652641436706061	19	1
1	0.691561713361971	19	1
1	0.71966693037149	19	1
1	0.759219087365692	19	1
1	0.78901680273889	19	1
1	0.803267395319913	19	1
1	0.80435322593875	19	1
1	0.814341785107044	19	1
1	0.824531436839229	19	1
1	0.82925086281031	19	1
1	0.836136938272148	19	1
1	0.854900397835347	21	1
1	0.89247707989233	21	1
1	0.922619205804563	22	1
1	0.971465137449943	23	1
1	1.01526441716754	23	1
1	1.03227093066737	23	1
1	1.04953200779372	24	1
1	1.05850599488504	24	1
1	1.07294528633612	26	1
1	1.08968476967164	27	1
1	1.09971961820913	28	1
1	1.10316615519096	27	1
1	1.10605054133286	27	1
1	1.1102144769884	27	1
1	1.11674772594242	27	1
1	1.12366995748818	27	1
1	1.12866807102252	27	1
1	1.13589983266939	27	1
1	1.14370458133794	26	1
1	1.15695911618981	26	1
1	1.17115236390112	27	1
1	1.17775843771347	27	1
1	1.18479822572161	27	1
1	1.19514222358762	25	1
1	1.20397913482352	25	1
1	1.20729729789303	25	1
1	1.20829127703637	25	1
1	1.21174284594598	27	1
1	1.24108371219443	27	1
1	1.28826400346605	27	1
1	1.31029775574902	26	1
1	1.3232635781369	26	1
1	1.34263735622525	26	1
1	1.36852603500759	26	1
1	1.38936725663978	25	1
1	1.40251344297915	25	1
1	1.41492976152821	25	1
1	1.42586370198284	27	1
1	1.49168738479968	27	1
1	1.60411677806205	27	1
1	1.6624831835566	27	1
1	1.66997423483356	25	1
1	1.68298456805506	24	1
1	1.7204629593357	23	1
1	1.75926110678374	23	1
1	1.78976235295361	22	1
1	1.83065765306889	22	1
1	1.85819883144322	22	1
1	1.86907515052897	21	1
1	1.88172815454718	21	1
1	1.89446806908854	21	1
1	1.91452296383845	21	1
1	1.94752026162627	21	1
1	1.96425060409098	20	1
1	1.96953175290972	20	1
1	1.97723269209976	20	1
1	1.98560014325731	20	1
1	2.00416064661972	20	1
1	2.01884606064577	19	1
1	2.04593789178286	19	1
1	2.07580186161845	19	1
1	2.10096924639068	17	1
1	2.12225453416235	16	1
1	2.12584594031888	14	1
1	2.13141077306184	14	1
1	2.14049901309666	14	1
1	2.1622137890248	14	1
1	2.20770066273593	14	1
1	2.2521670437596	14	1
1	2.26842205877857	14	1
1	2.29652726680131	12	1
1	2.35894543241789	11	1
1	2.40161534233256	11	1
1	2.42378428770603	10	1
1	2.44085387717589	10	1
1	2.44641510534152	9	1
1	2.45306580031636	8	1
1	2.46662077503176	7	1
1	2.47903424359976	7	1
1	2.49423575317933	7	1
1	2.52830124043837	7	1
1	2.55949656925542	5	1
1	2.57445904604457	5	1
1	2.58382636313553	5	1
1	2.5946934456005	5	1
1	2.60595667726434	5	1
1	2.6285972268247	5	1
1	2.68633452593303	4	1
1	2.73213666215108	4	1
1	2.75985148299782	4	1
1	2.81361290764657	2	1
1	2.87158624773392	2	1
1	2.90241531888844	2	1
1	2.91795067547059	2	1
1	2.93222086477448	2	1
1	3.00419176958481	2	1
1	3.09324630943011	2	1
1	3.11763684441743	2	1
1	3.14592501013227	1	1
1	3.20694602249704	1	1
1	3.26688722953746	1	1
1	3.32854861296969	1	1
1	3.37802684674715	1	1
1	3.46023501980178	1	1
1	3.61310644746045	1	1
1	3.78550826394633	1	1
1	3.88005038403048	0	1
1	3.92457453613681	0	1
1	4.02747304024897	0	1
1	4.25284715663437	0	1
1	4.42068131262425	0	1
1	4.48261359489143	0	1
1	4.62646186875274	0	1
1	4.74348187101885	0	1
1	5.11617180827067	0	1
1	5.99428742348698	0	1
1	12.0255107838507	0	1
2	-16.3942310876704	0	1
2	-5.09770717596157	0	1
2	-4.99115356892835	0	1
2	-4.91042471000665	0	1
2	-4.81252862044613	0	1
2	-4.75011331293256	0	1
2	-4.60159038134268	1	1
2	-4.46902838204627	1	1
2	-4.3588203349204	1	1
2	-4.25978847565906	1	1
2	-4.1216480422342	1	1
2	-3.98878804717958	1	1
2	-3.94464974333972	1	1
2	-3.90500647656738	1	1
2	-3.88586830756439	1	1
2	-3.79867374708195	1	1
2	-3.69607882660251	1	1
2	-3.62828898094249	2	1
