group	x	y	PANEL
1	-16.3942310876704	885	1
1	-9.88896899417524	884	1
1	-9.53268627306707	883	1
1	-9.20798924806218	882	1
1	-8.86255622463053	881	1
1	-8.67571019082571	880	1
1	-8.57227189730676	879	1
1	-8.53769143374375	878	1
1	-8.4301125106693	877	1
1	-8.04700928649795	876	1
1	-7.73404931925761	875	1
1	-7.63699417418552	874	1
1	-7.49852505931841	873	1
1	-7.30905269804461	872	1
1	-7.11515591426854	871	1
1	-6.99105525015328	870	1
1	-6.76076706050899	869	1
1	-6.57191731408788	868	1
1	-6.54446014066494	868	1
1	-6.52400575076842	867	1
1	-6.37922883223953	867	1
1	-6.17998802567952	866	1
1	-6.07421542230863	865	1
1	-6.01120872775725	864	1
1	-5.97589216009993	863	1
1	-5.93061526124745	862	1
1	-5.90369628914601	861	1
1	-5.89211899693977	861	1
1	-5.8281553320928	860	1
1	-5.76701112881957	859	1
1	-5.73250895008199	858	1
1	-5.70485940853765	857	1
1	-5.6903811465068	857	1
1	-5.64605620312466	856	1
1	-5.55619348294714	855	1
1	-5.48233135905491	854	1
1	-5.46446499478137	853	1
1	-5.450161213837	853	1
1	-5.41931956298144	853	1
1	-5.38654380301211	852	1
1	-5.36613064619134	851	1
1	-5.34354019717038	850	1
1	-5.30814408075951	849	1
1	-5.28736022985932	849	1
1	-5.272707190951	849	1
1	-5.24196146421863	849	1
1	-5.21768371522259	848	1
1	-5.21019311790921	847	1
1	-5.19670669183196	847	1
1	-5.18279072244301	846	1
1	-5.17015533374754	846	1
1	-5.1316003037961	845	1
1	-5.09883502200646	845	1
1	-5.08525639542704	843	1
1	-5.07518213647837	842	1
1	-5.07286146843983	841	1
1	-5.06897025564521	841	1
1	-5.04486546482294	839	1
1	-5.0069879143207	838	1
1	-4.97248914694282	837	1
1	-4.93021802489656	837	1
1	-4.89904079273506	837	1
1	-4.86569719111714	836	1
1	-4.83171606898626	836	1
1	-4.81589943623578	833	1
1	-4.79454556932936	832	1
1	-4.77334896706905	832	1
1	-4.76169695194704	831	1
1	-4.72511636706101	831	1
1	-4.68721601090577	830	1
1	-4.67792395441754	829	1
1	-4.67127066152164	828	1
1	-4.66148785578343	827	1
1	-4.61072896253813	827	1
1	-4.55421114895733	824	1
1	-4.50422976873201	824	1
1	-4.45704219274004	822	1
1	-4.44319457888393	822	1
1	-4.43502392276953	821	1
1	-4.42187697355632	820	1
1	-4.41303123397322	819	1
1	-4.41139123549208	819	1
1	-4.4048494425415	818	1
1	-4.38213897134052	818	1
1	-4.34911447997972	818	1
1	-4.29521112925433	817	1
1	-4.25269920878813	816	1
1	-4.24396713694816	815	1
1	-4.21728567583655	813	1
1	-4.19385953350336	811	1
1	-4.1861884612088	808	1
1	-4.16779849521419	806	1
1	-4.15167619956301	806	1
1	-4.14379022715116	805	1
1	-4.14060980665267	804	1
1	-4.1328164095739	804	1
1	-4.12518843469889	800	1
1	-4.11410022166208	800	1
1	-4.09595090903846	798	1
1	-4.07458873791288	797	1
1	-4.05924686839433	796	1
1	-4.05402372840016	796	1
1	-4.03890296712451	795	1
1	-4.02421721681833	795	1
1	-4.00561974331927	795	1
1	-3.988503708807	794	1
1	-3.97604935042674	793	1
1	-3.96013028572234	793	1
1	-3.95124503976588	792	1
