group	x	y	PANEL
1	-16.3942310876704	336	1
1	-6.99229628147136	335	1
1	-5.99060275231666	324	1
1	-5.835352675876	322	1
1	-5.77026322016721	318	1
1	-5.72529680286858	308	1
1	-5.61991354275679	305	1
1	-5.39906295888503	301	1
1	-5.26177524181576	299	1
1	-5.15877263713301	294	1
1	-4.9471229683194	293	1
1	-4.52388659544475	292	1
1	-4.15705257178426	291	1
1	-4.03547966803523	282	1
1	-3.96666522630203	281	1
1	-3.9221907211925	271	1
1	-3.89103451145579	261	1
1	-3.77178440450291	256	1
1	-3.64071399943043	255	1
1	-3.61855455144428	253	1
1	-3.58448044607293	251	1
1	-3.55449445113296	250	1
1	-3.51879939344955	248	1
1	-3.46116508764984	247	1
1	-3.36807152575708	237	1
1	-3.28138889333827	232	1
1	-3.20275625868677	225	1
1	-3.10526370300347	214	1
1	-3.03865482397047	213	1
1	-2.95082723852582	212	1
1	-2.79851043686981	202	1
1	-2.6863657751788	200	1
1	-2.62845613203836	197	1
1	-2.45331243808607	195	1
1	-2.30000349117827	185	1
1	-2.27419153655315	182	1
1	-2.24910998593759	176	1
1	-2.22684652502165	171	1
1	-2.19866434337984	166	1
1	-2.16983623690063	165	1
1	-2.14289090865404	160	1
1	-2.06918522883712	154	1
1	-1.99386439564439	146	1
1	-1.92738904621029	140	1
1	-1.8790317412254	135	1
1	-1.86475118813075	127	1
1	-1.84963694240289	126	1
1	-1.78779627093253	124	1
1	-1.67281313317897	115	1
1	-1.60072341159308	114	1
1	-1.5791749942022	113	1
1	-1.5487755932606	112	1
1	-1.50031588363435	111	1
1	-1.46774270541948	110	1
1	-1.45973758102598	109	1
1	-1.4514819362691	107	1
1	-1.43491759312171	106	1
1	-1.42506650215334	102	1
1	-1.42181548718588	101	1
1	-1.40189236155011	100	1
1	-1.37641880071194	98	1
1	-1.35536639026403	95	1
1	-1.33204754220797	91	1
1	-1.30923193865467	89	1
1	-1.27607040952789	82	1
1	-1.24738835748666	81	1
1	-1.22118198955077	78	1
1	-1.19286720073901	82	1
1	-1.16820449376791	77	1
1	-1.14292117401607	75	1
1	-1.11842893064622	73	1
1	-1.09135157994526	71	1
1	-1.03881936510328	67	1
1	-0.992287767279509	65	1
1	-0.981847383273932	67	1
1	-0.97118867605632	60	1
1	-0.962558028302166	56	1
1	-0.960088883600013	55	1
1	-0.953819244267088	51	1
1	-0.94710402379917	50	1
1	-0.918594574229353	48	1
1	-0.886911483662446	46	1
1	-0.873407488392011	45	1
1	-0.847030470061595	42	1
1	-0.793575741192235	42	1
1	-0.741138596191656	41	1
1	-0.721745752406791	39	1
1	-0.719273996952336	36	1
1	-0.713401876009121	35	1
1	-0.703510701132251	33	1
1	-0.686147347392638	32	1
1	-0.651917566243428	31	1
1	-0.615069687267385	30	1
1	-0.577004588202001	29	1
1	-0.546696087117302	25	1
1	-0.52523997990782	21	1
1	-0.461478346624043	20	1
1	-0.405499625315994	18	1
1	-0.369470267866553	17	1
1	-0.321438189956942	16	1
1	-0.242101397006233	6	1
1	-0.175768620863018	5	1
1	-0.164801041391676	4	1
1	-0.110581625125426	3	1
1	-0.0374283707043155	2	1
1	0	1	1
1	0.0374283707043146	1	1
1	0.110581625125424	1	1
1	0.164801041391675	1	1
1	0.175768620863018	1	1
1	0.242101397006232	1	1
1	0.321438189956943	1	1
1	0.369470267866553	1	1
1	0.455613896979799	1	1
1	0.515846060577474	1	1
1	0.529493422197445	0	1
1	0.618990967331895	0	1
1	0.700580968908724	1	1
1	0.704997076904975	1	1
1	0.715873631463575	1	1
1	0.80809732033145	1	1
1	0.918594574229353	1	1
1	0.972444694891828	1	1
1	1.00583581508715	1	1
1	1.05836802992913	14	1
1	1.129631101243	14	1
1	1.20499241951985	27	1
1	1.27197369766827	27	1
1	1.30513522679505	27	1
1	1.3660016976388	27	1
1	1.41132027836658	27	1
1	1.42739219889223	14	1
1	1.44276323474408	14	1
1	1.4514819362691	27	1
1	1.47517144948425	27	1
1	1.50808212202655	40	1
1	1.5487755932606	40	1
1	1.588872045344	40	1
1	1.70461717429522	40	1
1	1.84940728214017	40	1
1	1.92868601677462	53	1
1	2.05048162362087	52	1
1	2.16443370631229	39	1
1	2.27466714797837	39	1
1	2.3864915661768	26	1
1	2.5008718184808	26	1
1	2.62656264829385	26	1
1	2.71217980427092	26	1
1	2.7930921995312	26	1
1	2.8902911895717	26	1
1	2.97296626597215	13	1
1	3.12551309380722	13	1
1	3.27641352625292	13	1
1	3.34529368510748	13	1
1	3.39736988312918	13	1
1	3.412017026507	13	1
1	3.52544437207298	0	1
1	3.98365547704785	0	1
1	12.0255107838507	0	1
2	-16.3942310876704	0	1
2	-6.99229628147136	0	1
2	-5.99060275231666	0	1
2	-5.835352675876	0	1
2	-5.77026322016721	0	1
2	-5.72529680286858	0	1
2	-5.61991354275679	0	1
2	-5.39906295888503	0	1
2	-5.26177524181576	0	1
2	-5.15877263713301	0	1
2	-4.9471229683194	0	1
2	-4.52388659544475	0	1
2	-4.15705257178426	0	1
2	-4.03547966803523	0	1
2	-3.96666522630203	0	1
2	-3.9221907211925	0	1
2	-3.89103451145579	0	1
2	-3.77178440450291	0	1
2	-3.64071399943043	0	1
2	-3.61855455144428	0	1
2	-3.58448044607293	0	1
2	-3.55449445113296	0	1
2	-3.51879939344955	0	1
2	-3.46116508764984	0	1
2	-3.36807152575708	0	1
2	-3.28138889333827	0	1
2	-3.20275625868677	0	1
2	-3.10526370300347	0	1
2	-3.03865482397047	0	1
2	-2.95082723852582	0	1
2	-2.79851043686981	0	1
2	-2.6863657751788	0	1
2	-2.62845613203836	0	1
2	-2.45331243808607	0	1
2	-2.30000349117827	0	1
2	-2.27419153655315	0	1
2	-2.24910998593759	0	1
2	-2.22684652502165	0	1
2	-2.19866434337984	0	1
2	-2.16983623690063	0	1
2	-2.14289090865404	0	1
2	-2.06918522883712	0	1
2	-1.99386439564439	0	1
2	-1.92738904621029	0	1
2	-1.8790317412254	0	1
2	-1.86475118813075	0	1
2	-1.84963694240289	0	1
2	-1.78779627093253	0	1
2	-1.67281313317897	0	1
2	-1.60072341159308	0	1
2	-1.5791749942022	0	1
2	-1.5487755932606	0	1
2	-1.50031588363435	0	1
2	-1.46774270541948	0	1
2	-1.45973758102598	0	1
2	-1.4514819362691	0	1
2	-1.43491759312171	0	1
2	-1.42506650215334	0	1
2	-1.42181548718588	0	1
2	-1.40189236155011	0	1
2	-1.37641880071194	0	1
2	-1.35536639026403	0	1
2	-1.33204754220797	0	1
2	-1.30923193865467	0	1
2	-1.27607040952789	0	1
2	-1.24738835748666	0	1
2	-1.22118198955077	0	1
2	-1.19286720073901	0	1
2	-1.16820449376791	0	1
2	-1.14292117401607	0	1
2	-1.11842893064622	0	1
2	-1.09135157994526	0	1
2	-1.03881936510328	0	1
2	-0.992287767279509	0	1
2	-0.981847383273932	0	1
2	-0.97118867605632	0	1
2	-0.962558028302166	0	1
2	-0.960088883600013	0	1
2	-0.953819244267088	0	1
2	-0.94710402379917	0	1
2	-0.918594574229353	0	1
2	-0.886911483662446	0	1
2	-0.873407488392011	0	1
2	-0.847030470061595	0	1
2	-0.793575741192235	2	1
2	-0.741138596191656	2	1
2	-0.721745752406791	2	1
2	-0.719273996952336	2	1
2	-0.713401876009121	2	1
2	-0.703510701132251	2	1
2	-0.686147347392638	2	1
2	-0.651917566243428	2	1
2	-0.615069687267385	2	1
2	-0.577004588202001	2	1
2	-0.546696087117302	2	1
2	-0.52523997990782	2	1
2	-0.461478346624043	2	1
2	-0.405499625315994	2	1
2	-0.369470267866553	2	1
2	-0.321438189956942	2	1
2	-0.242101397006233	2	1
2	-0.175768620863018	2	1
2	-0.164801041391676	2	1
2	-0.110581625125426	2	1
2	-0.0374283707043155	2	1
2	0	2	1
2	0.0374283707043146	4	1
2	0.110581625125424	6	1
2	0.164801041391675	8	1
2	0.175768620863018	10	1
2	0.242101397006232	12	1
2	0.321438189956943	14	1
2	0.369470267866553	16	1
2	0.455613896979799	18	1
2	0.515846060577474	20	1
2	0.529493422197445	20	1
2	0.618990967331895	22	1
2	0.700580968908724	22	1
2	0.704997076904975	24	1
2	0.715873631463575	25	1
2	0.80809732033145	26	1
2	0.918594574229353	27	1
2	0.972444694891828	29	1
2	1.00583581508715	30	1
2	1.05836802992913	30	1
2	1.129631101243	31	1
2	1.20499241951985	32	1
2	1.27197369766827	33	1
2	1.30513522679505	35	1
2	1.3660016976388	36	1
2	1.41132027836658	42	1
2	1.42739219889223	42	1
2	1.44276323474408	48	1
2	1.4514819362691	49	1
2	1.47517144948425	50	1
2	1.50808212202655	50	1
2	1.5487755932606	51	1
2	1.588872045344	52	1
2	1.70461717429522	56	1
2	1.84940728214017	58	1
2	1.92868601677462	58	1
2	2.05048162362087	58	1
2	2.16443370631229	58	1
2	2.27466714797837	59	1
2	2.3864915661768	59	1
2	2.5008718184808	61	1
2	2.62656264829385	68	1
2	2.71217980427092	69	1
2	2.7930921995312	70	1
2	2.8902911895717	71	1
2	2.97296626597215	71	1
2	3.12551309380722	72	1
2	3.27641352625292	73	1
2	3.34529368510748	74	1
2	3.39736988312918	75	1
2	3.412017026507	76	1
2	3.52544437207298	76	1
2	3.98365547704785	77	1
2	12.0255107838507	78	1
3	-16.3942310876704	336	1
3	-6.99229628147136	335	1
3	-5.99060275231666	324	1
3	-5.835352675876	322	1
3	-5.77026322016721	318	1
3	-5.72529680286858	308	1
3	-5.61991354275679	305	1
3	-5.39906295888503	301	1
3	-5.26177524181576	299	1
3	-5.15877263713301	294	1
3	-4.9471229683194	293	1
3	-4.52388659544475	292	1
3	-4.15705257178426	291	1
3	-4.03547966803523	282	1
3	-3.96666522630203	281	1
3	-3.9221907211925	271	1
3	-3.89103451145579	261	1
3	-3.77178440450291	256	1
3	-3.64071399943043	255	1
3	-3.61855455144428	253	1
3	-3.58448044607293	251	1
