x	y	key	PANEL	group
-16.3942310876704	0	1	1	29
-8.26545757926259	0	1	1	29
-7.91464624833338	0	1	1	29
-7.59613714887762	0	1	1	29
-7.46500483134447	0	1	1	29
-7.36523365330198	0	1	1	29
-7.19423693964834	0	1	1	29
-7.06370346381024	0	1	1	29
-6.99319192545321	0	1	1	29
-6.86676531402483	0	1	1	29
-6.70321961911907	0	1	1	29
-6.60587042837813	0	1	1	29
-6.45748866524357	0	1	1	29
-6.15907039714669	0	1	1	29
-5.98011984209198	0	1	1	29
-5.84666054064281	0	1	1	29
-5.64773713735322	0	1	1	29
-5.53813854940991	0	1	1	29
-5.44287784535482	0	1	1	29
-5.3439128067833	0	1	1	29
-5.26295415906165	0	1	1	29
-5.20741523067392	1	1	1	29
-5.17651358842653	1	1	1	29
-5.15130142022996	1	1	1	29
-5.12915580143022	1	1	1	29
-5.11548763428527	1	1	1	29
-5.035413151078	1	1	1	29
-4.94402240616096	1	1	1	29
-4.93072334476463	1	1	1	29
-4.89044859750536	1	1	1	29
-4.73642396717837	1	1	1	29
-4.61874585313534	1	1	1	29
-4.54825209442018	1	1	1	29
-4.47988011591355	1	1	1	29
-4.44527963290417	1	1	1	29
-4.36971984386521	1	1	1	29
-4.3170378696864	1	1	1	29
-4.30049656013267	2	1	1	29
-4.28435906721545	2	1	1	29
-4.27124728401608	2	1	1	29
-4.25213209275031	2	1	1	29
-4.22834741318867	2	1	1	29
-4.214181025412	2	1	1	29
-4.19883899183349	2	1	1	29
-4.17964360859031	2	1	1	29
-4.14810909244533	2	1	1	29
-4.11018871722421	2	1	1	29
-4.07686680354342	2	1	1	29
-4.05283791972283	2	1	1	29
-4.04577698681129	2	1	1	29
-4.02832866421501	2	1	1	29
-3.98630972754503	2	1	1	29
-3.9582631186439	2	1	1	29
-3.94108369582349	2	1	1	29
-3.926109914654	2	1	1	29
-3.91996235725211	2	1	1	29
-3.91442537679636	2	1	1	29
-3.89377552439463	2	1	1	29
-3.87183553621017	3	1	1	29
-3.86981206378017	4	1	1	29
-3.85943948766359	4	1	1	29
-3.84445629109026	4	1	1	29
-3.81439118339759	4	1	1	29
-3.78120726384567	4	1	1	29
-3.75835986768113	5	1	1	29
-3.74034014408289	5	1	1	29
-3.72912620567116	5	1	1	29
-3.71513037531451	5	1	1	29
-3.70609572637494	5	1	1	29
-3.69581760572816	6	1	1	29
-3.6654547795241	6	1	1	29
-3.62339876235206	6	1	1	29
-3.58389775859319	6	1	1	29
-3.56161049839596	6	1	1	29
-3.55834856781971	6	1	1	29
-3.55571375249289	6	1	1	29
-3.54791874148449	6	1	1	29
-3.53873161123641	6	1	1	29
-3.51625036502143	6	1	1	29
-3.49273529010631	6	1	1	29
-3.47456522176784	6	1	1	29
-3.45175687094831	6	1	1	29
-3.44216605281811	6	1	1	29
-3.43500188558398	6	1	1	29
-3.42573822049048	6	1	1	29
-3.41809640084791	6	1	1	29
-3.41096951062859	6	1	1	29
-3.39733656304451	6	1	1	29
-3.38480658277021	6	1	1	29
-3.38048628024333	6	1	1	29
-3.35761713909178	6	1	1	29
-3.32456495963553	6	1	1	29
-3.3117288555981	6	1	1	29
-3.30478528761365	8	1	1	29
-3.29021227318757	8	1	1	29
-3.26688483141656	8	1	1	29
-3.25098462404982	8	1	1	29
-3.24710303857177	8	1	1	29
-3.242384855415	10	1	1	29
-3.23453170033723	10	1	1	29
-3.22292848330487	11	1	1	29
-3.21292728103684	11	1	1	29
-3.20096003498333	11	1	1	29
-3.17156813836034	12	1	1	29
-3.13474615125822	11	1	1	29
-3.11890183511873	11	1	1	29
-3.11050374525826	11	1	1	29
-3.09961552340587	11	1	1	29
-3.09447014403491	11	1	1	29
-3.0920260969373	11	1	1	29
-3.08520677687515	11	1	1	29
-3.07323074591431	11	1	1	29
-3.06451371870596	12	1	1	29
-3.05193151271184	12	1	1	29
-3.03480961513973	12	1	1	29
-3.0276101044333	12	1	1	29
-3.02443035697232	12	1	1	29
-3.0197664165992	12	1	1	29
-3.01307041268761	12	1	1	29
-3.00545089338937	12	1	1	29
-2.99136648536909	12	1	1	29
-2.95564070779741	12	1	1	29
-2.93117609499725	12	1	1	29
-2.92716174321632	12	1	1	29
-2.919118742798	12	1	1	29
-2.91150744326685	13	1	1	29
-2.90322125408391	15	1	1	29
-2.89634670230622	15	1	1	29
-2.89173576682769	15	1	1	29
-2.88116770671222	15	1	1	29
-2.86962764824513	15	1	1	29
-2.86167499728224	15	1	1	29
-2.85736593930778	15	1	1	29
-2.84402667012375	15	1	1	29
-2.82295342856137	15	1	1	29
-2.81322379221612	15	1	1	29
-2.80970550248855	15	1	1	29
-2.8064705935988	17	1	1	29
-2.79489902825149	17	1	1	29
-2.78244825729048	17	1	1	29
-2.77540197227322	17	1	1	29
-2.7647534008319	18	1	1	29
