group	xmin	xmax
1	-16.3942310876704	-6.37527758166164
2	-5.02133781675616	-4.85205415189002
3	-4.45774712658754	-4.45100484520052
4	-4.21696151507404	-4.12013884582134
5	-3.88858851958593	-3.87521639117332
6	-3.58209542122477	-3.54383911930047
7	-3.36300067057129	-3.3223525914254
8	-3.31193638793688	-3.21165500338962
9	-3.03882960174421	-3.00876554021964
10	-2.97021056233706	-2.91658757487318
11	-2.91419417553571	-2.91279168011075
12	-2.89953991398035	-2.89600597746595
13	-2.84359781518441	-2.81897409355332
14	-2.73954540449256	-2.7335422736603
15	-2.64357358127914	-2.64203047207744
16	-2.62616226671177	-2.58607393124784
17	-2.5770029240435	-2.5488186374581
18	-2.5488186374581	-2.50532131657077
19	-2.47339800575179	-2.40790252896588
20	-2.40020473043771	-2.32588242520602
21	-2.28567398216849	-2.28408262166694
22	-2.2783160220361	-2.27191753428844
23	-2.26057316888783	-2.25754360451816
24	-2.16129170896661	-2.15512410888709
25	-2.13672236098312	-2.11800947664018
26	-2.1166143044408	-2.09343829024958
27	-2.06022315500663	-2.04570731571883
28	-1.91218102670879	-1.8826962383521
29	-1.85931943779181	-1.82267105098687
30	-1.82267105098687	-1.80371652032857
31	-1.77462843516932	-1.77179015936915
32	-1.7468698432913	-1.73498798637735
33	-1.72706316414245	-1.70566629370849
34	-1.69846937547564	-1.68516246996182
35	-1.60432833777765	-1.60152896720135
36	-1.5797806378966	-1.5797539581718
37	-1.56941347676655	-1.55865228458505
38	-1.5176300318009	-1.51134149078752
39	-1.46294965572255	-1.4585776831835
40	-1.45071326976775	-1.43864688122555
41	-1.38360793904629	-1.3575683368228
42	-1.35527905781787	-1.34733262316355
43	-1.3152960498869	-1.31509302607875
44	-1.30360623393821	-1.29635383228885
45	-1.28398263311765	-1.2643436430966
46	-1.233349284135	-1.22530987517458
47	-1.16852773135425	-1.16517280980235
48	-1.15516753962285	-1.1333926064473
49	-1.09256511488536	-1.09102672953715
50	-1.01990208007565	-1.01923716455415
51	-1.01675903849342	-1
52	-1	-0.97671850958595
53	-0.97671850958595	-0.9763560653693
54	-0.93071329247835	-0.9262622261218
55	-0.900500763284182	-0.895537352670401
56	-0.89393790436462	-0.8675655246149
57	-0.82179327685685	-0.82051207318484
58	-0.76047412700485	-0.718862325991049
59	-0.663167723471171	-0.62712394291785
60	-0.450971044637949	-0.44494073192045
61	-0.354615173939704	-0.3391174808014
62	-0.336436050579501	-0.33496651593145
63	-0.269554231941324	-0.256894962167101
64	-0.0698608375947494	-0.00413264334340013
65	0.00413264334340013	0.0698608375947494
66	0.113483994796885	0.11590057518505
67	0.23035576404795	0.237846317726099
68	0.237846317726099	0.24799400737975
69	0.256894962167101	0.2703866749988
70	0.309335822332249	0.334475319569785
71	0.354615173939704	0.354628700512949
72	0.354628700512949	0.382925398664749
73	0.44494073192045	0.52689158937857
74	0.53892007291684	0.55444229090765
75	0.56192881510025	0.579711332114149
76	0.62712394291785	0.651763301953185
77	0.718862325991051	0.76047412700485
78	0.77657051699458	0.815001914743069
79	0.821793276856852	0.849370068466801
80	0.895537352670401	0.913491628547401
81	0.913491628547401	0.941369194379879
82	0.960713557578149	1.0027667975473
83	1.0027667975473	1.01990208007565
84	1.03798793437715	1.07146655191508
85	1.07387849549115	1.10567487725785
86	1.11030301267705	1.12404132050681
87	1.15516753962285	1.16517280980235
88	1.22530987517458	1.233349284135
89	1.2438920384607	1.2581919829608
90	1.29363857428375	1.3077233892369
91	1.34733262316355	1.36517481765775
92	1.36517481765775	1.42780180014205
93	1.42780180014205	1.53298794919855
94	1.60694313719615	1.69107983630364
95	1.7468698432913	1.84050343276687
96	1.84050343276687	1.91172046390918
97	2.03771321262805	2.6083432755284
98	2.6083432755284	2.85547257862115
99	3.11370853132335	3.14371775524348
100	3.14371775524348	3.17965276793185
101	4.20726465553838	12.0255107838507
102	-16.3942310876704	-6.49496500268441
103	-4.80233621691035	-4.61431653446209
104	-4.45100484520052	-4.39404633939002
105	-4.12013595156073	-4.10233823213795
106	-3.98633370343145	-3.88858851958593
107	-3.81942775090746	-3.75895370257404
108	-3.58209542122477	-3.54383911930047
109	-3.43158336166394	-3.43046003298378
110	-3.31640067156855	-3.29611207436345
111	-3.20566629370849	-3.1346556445643
112	-3.00876554021964	-2.9963737961056
113	-2.9835422736603	-2.97021056233706
114	-2.97021056233706	-2.96608218333796
115	-2.91658757487318	-2.89953991398035
116	-2.89131966030438	-2.81897409355332
117	-2.81897409355332	-2.75332314089701
118	-2.69809285888709	-2.66852773135425
119	-2.4903642837045	-2.47339800575179
120	-2.42210218797564	-2.40790252896588
121	-2.32588242520602	-2.32197136761075
122	-2.28567398216849	-2.27711085174421
123	-2.25782908024935	-2.25754360451816
124	-2.1813184479813	-2.16701108127914
125	-2.16701108127914	-2.13989825882878
126	-2.1189951115435	-2.11300067057129
127	-2.0908108249581	-2.0866602938498
128	-2.04834242583163	-2.04570731571883
129	-1.86454540449256	-1.8546151739397
130	-1.8203082095361	-1.81619792738536
131	-1.77462843516932	-1.77179015936915
132	-1.76134149078752	-1.7468698432913
133	-1.72706316414245	-1.71071219799263
134	-1.66419417553571	-1.62616226671177
135	-1.62616226671177	-1.60527905781787
136	-1.60432833777765	-1.60152896720135
137	-1.57854061116399	-1.57226923598312
138	-1.52236387166694	-1.51675903849342
139	-1.4215702055966	-1.41240863560375
140	-1.40640889646661	-1.40050076328418
141	-1.3145040318059	-1.29635383228885
142	-1.18174657289555	-1.18008448388095
143	-1.15796863483225	-1.15516753962285
144	-1.15020473043771	-1.1453848260603
145	-1.14416767387735	-1.1278134258521
146	-1.11030301267705	-1.09102672953715
147	-1.06933011853055	-1.04199777032857
148	-0.990847162373701	-0.984319437791811
149	-0.958577683183501	-0.95398857654795
150	-0.941369194379881	-0.93071329247835
151	-0.9262622261218	-0.9134916285474
152	-0.8995605243228	-0.895537352670401
153	-0.879404800579501	-0.8675655246149
154	-0.826824941709779	-0.818576765828849
155	-0.78414341109748	-0.77657051699458
156	-0.76047412700485	-0.746152284585049
157	-0.718862325991049	-0.71383981654275
158	-0.58971243772975	-0.5797539581718
159	-0.56192881510025	-0.560210213578751
160	-0.542674664554149	-0.5425722939473
161	-0.542443849905251	-0.5419921875
162	-0.5419921875	-0.54188748393821
163	-0.5419921875	-0.54188748393821
164	-0.541221752257851	-0.540151961164749
165	-0.539296990167751	-0.5388361066566
166	-0.49640411231495	-0.494004111987051
167	-0.494004111987051	-0.49327704845205
168	-0.44945032577955	-0.449318338587252
169	-0.34523077685685	-0.268921480385851
170	-0.262153682273901	-0.2296133250012
171	-0.184998085256931	-0.165524680430215
172	0	0.151763301953185
173	0.19494073192045	0.20044052159235
174	0.225698836164749	0.2517028316986
175	0.28892007291684	0.333925350332899
176	0.502766797547301	0.56192881510025
177	0.56192881510025	0.62712394291785
178	0.718862325991051	0.743892038460698
179	0.76047412700485	0.77657051699458
180	0.84050343276687	0.847715274667101
181	0.847715274667101	0.849370068466801
182	0.895537352670401	0.913491628547401
183	0.913491628547401	0.941369194379879
184	0.941369194379879	1.01990208007565
185	1.03798793437715	1.07146655191508
186	1.11030301267705	1.15516753962285
187	1.233349284135	1.29363857428375
188	1.29363857428375	1.29835577685685
189	1.34733262316355	1.36517481765775
190	1.36517481765775	1.42780180014205
191	1.42780180014205	1.44107983630364
192	1.5574150457067	1.60694313719615
193	1.7468698432913	1.82876130799115
194	1.83571355757815	1.8985437017369
195	1.91172046390918	1.97767280980235
196	1.98702862517458	2.03771321262805
197	2.03771321262805	2.0653745255284
198	2.0653745255284	2.24316789112115
199	2.45601995543185	2.47699592926718
200	2.5081919829608	2.52583991053815
201	2.52583991053815	3.11370853132335
202	4.20726465553838	12.0255107838507
