colour	key	showSelectedlegendcolour	clickSelects	fill	group
#F8766D	initial 0	initial	0	#F8766D	1
#F8766D	initial 1	initial	1	#F8766D	2
#F8766D	initial 2	initial	2	#F8766D	3
#F8766D	initial 3	initial	3	#F8766D	4
#F8766D	initial 4	initial	4	#F8766D	5
#F8766D	initial 5	initial	5	#F8766D	6
#F8766D	initial 6	initial	6	#F8766D	7
#F8766D	initial 7	initial	7	#F8766D	8
#F8766D	initial 8	initial	8	#F8766D	9
#F8766D	initial 9	initial	9	#F8766D	10
#F8766D	initial 10	initial	10	#F8766D	11
#F8766D	initial 11	initial	11	#F8766D	12
#F8766D	initial 12	initial	12	#F8766D	13
#F8766D	initial 13	initial	13	#F8766D	14
#F8766D	initial 14	initial	14	#F8766D	15
#F8766D	initial 15	initial	15	#F8766D	16
#F8766D	initial 16	initial	16	#F8766D	17
#F8766D	initial 17	initial	17	#F8766D	18
#F8766D	initial 18	initial	18	#F8766D	19
#F8766D	initial 19	initial	19	#F8766D	20
#F8766D	initial 20	initial	20	#F8766D	21
#F8766D	initial 21	initial	21	#F8766D	22
#F8766D	initial 22	initial	22	#F8766D	23
#F8766D	initial 23	initial	23	#F8766D	24
#F8766D	initial 24	initial	24	#F8766D	25
#F8766D	initial 25	initial	25	#F8766D	26
#F8766D	initial 26	initial	26	#F8766D	27
#F8766D	initial 27	initial	27	#F8766D	28
#F8766D	initial 28	initial	28	#F8766D	29
#F8766D	initial 29	initial	29	#F8766D	30
#F8766D	initial 30	initial	30	#F8766D	31
#F8766D	initial 31	initial	31	#F8766D	32
#F8766D	initial 32	initial	32	#F8766D	33
#F8766D	initial 33	initial	33	#F8766D	34
#F8766D	initial 34	initial	34	#F8766D	35
#F8766D	initial 35	initial	35	#F8766D	36
#F8766D	initial 36	initial	36	#F8766D	37
#F8766D	initial 37	initial	37	#F8766D	38
#F8766D	initial 38	initial	38	#F8766D	39
#F8766D	initial 39	initial	39	#F8766D	40
#F8766D	initial 40	initial	40	#F8766D	41
#F8766D	initial 41	initial	41	#F8766D	42
#F8766D	initial 42	initial	42	#F8766D	43
#F8766D	initial 43	initial	43	#F8766D	44
#F8766D	initial 44	initial	44	#F8766D	45
#F8766D	initial 45	initial	45	#F8766D	46
#F8766D	initial 46	initial	46	#F8766D	47
#F8766D	initial 47	initial	47	#F8766D	48
#F8766D	initial 48	initial	48	#F8766D	49
#F8766D	initial 49	initial	49	#F8766D	50
#F8766D	initial 50	initial	50	#F8766D	51
#F8766D	initial 51	initial	51	#F8766D	52
#F8766D	initial 52	initial	52	#F8766D	53
#F8766D	initial 53	initial	53	#F8766D	54
#F8766D	initial 54	initial	54	#F8766D	55
#F8766D	initial 55	initial	55	#F8766D	56
#F8766D	initial 56	initial	56	#F8766D	57
#F8766D	initial 57	initial	57	#F8766D	58
#F8766D	initial 58	initial	58	#F8766D	59
#F8766D	initial 59	initial	59	#F8766D	60
