group	x	y	PANEL
1	-16.3942310876704	805	1
1	-9.45870088301301	804	1
1	-8.65309790745855	803	1
1	-8.43766645542758	792	1
1	-8.09561384189331	791	1
1	-7.84023186762754	790	1
1	-7.74263435940161	789	1
1	-7.53917314896426	788	1
1	-7.33331539137791	787	1
1	-7.23778939437831	786	1
1	-7.19062141895515	785	1
1	-7.12863778224573	784	1
1	-7.10318966268278	783	1
1	-7.03268051837817	782	1
1	-6.94478828020778	781	1
1	-6.89515908009493	780	1
1	-6.84132512326178	782	1
1	-6.80652935591422	781	1
1	-6.80089748421599	780	1
1	-6.75748633309481	779	1
1	-6.66078983597449	778	1
1	-6.60134960122454	777	1
1	-6.57207202949322	776	1
1	-6.52946216418738	775	1
1	-6.45866981218962	774	1
1	-6.38050135161373	773	1
1	-6.28075956012421	772	1
1	-6.15136074147259	771	1
1	-6.09054255046389	771	1
1	-6.07955259495859	770	1
1	-6.05221499488871	769	1
1	-6.01503468402176	768	1
1	-5.96240901517426	767	1
1	-5.92516263571138	766	1
1	-5.91014441756224	766	1
1	-5.86194658654741	765	1
1	-5.78876206144682	764	1
1	-5.61650583649613	763	1
1	-5.46293736707455	763	1
1	-5.42995333959903	762	1
1	-5.41159035547402	762	1
1	-5.31728993273897	761	1
1	-5.20806745756077	761	1
1	-5.18237100506228	761	1
1	-5.16622352708091	760	1
1	-5.13670123219805	759	1
1	-5.09872064960995	758	1
1	-5.07654165975045	758	1
1	-5.03435889423713	757	1
1	-4.98764818894503	756	1
1	-4.97014528801943	755	1
1	-4.91756062934884	753	1
1	-4.84132087926002	752	1
1	-4.8033229985619	751	1
1	-4.79930822678989	751	1
1	-4.78848883092519	749	1
1	-4.75580680617718	748	1
1	-4.70059423503677	747	1
1	-4.659969377318	746	1
1	-4.5802237916048	744	1
1	-4.48277132240851	743	1
1	-4.43031928019888	742	1
1	-4.40256762825258	742	1
1	-4.39594453068825	742	1
1	-4.37760035568186	741	1
1	-4.36462177969032	740	1
1	-4.36120169331997	739	1
1	-4.34363261366655	738	1
1	-4.30971461264683	738	1
1	-4.28418716003662	737	1
1	-4.2724173341131	738	1
1	-4.24325023904567	737	1
1	-4.21136674032318	734	1
1	-4.19782588585551	733	1
1	-4.1747090704706	731	1
1	-4.14937996493312	730	1
1	-4.13956370748717	729	1
1	-4.13443464806273	728	1
1	-4.12970601273613	726	1
1	-4.12677715225086	725	1
1	-4.1060016952742	724	1
1	-4.06339004511735	723	1
1	-4.0383215527663	722	1
1	-4.0338040965323	721	1
1	-4.02612196915842	720	1
1	-4.00525084400869	719	1
1	-3.98813455911521	719	1
1	-3.97512971482668	719	1
1	-3.94998172979093	718	1
1	-3.9354429228112	717	1
1	-3.92297853496231	717	1
1	-3.90979224277712	716	1
1	-3.89292476913192	715	1
1	-3.87663134891482	715	1
1	-3.87436384004867	715	1
1	-3.84854085751183	714	1
1	-3.81281911889321	713	1
1	-3.79162530449795	712	1
1	-3.78178709446412	712	1
1	-3.7703092670585	710	1
1	-3.74743400470143	710	1
1	-3.7307552338175	710	1
1	-3.72202964566349	701	1
1	-3.71272767387804	700	1
1	-3.7045739343765	698	1
1	-3.70064627272939	697	1
1	-3.69553021273651	697	1
1	-3.68179383539812	695	1
1	-3.66999444243008	693	1
1	-3.6551238906439	692	1
1	-3.63571363127919	690	1
1	-3.61836158936427	689	1
1	-3.58898717663844	689	1
1	-3.54199029405212	688	1
1	-3.51295981279981	688	1
1	-3.49641804478746	685	1
1	-3.47076120564364	682	1
1	-3.46068527408845	681	1
1	-3.45867545674935	681	1
1	-3.4524640090861	680	1
1	-3.44199930230472	679	1
1	-3.43386859842011	677	1
1	-3.43088184073175	677	1
1	-3.43010421813268	676	1
1	-3.42952502827427	674	1
1	-3.42559228143904	673	1
1	-3.41872961225656	671	1
1	-3.41264334234182	670	1
1	-3.40574781654728	669	1
1	-3.39864654918017	668	1
1	-3.39148181413295	667	1
1	-3.38308918746274	666	1
1	-3.37868265466194	666	1
1	-3.37782850915819	665	1
1	-3.36407756525993	665	1
1	-3.3508860273064	665	1
1	-3.33852744180672	664	1
1	-3.32221450400732	663	1
1	-3.31397249057137	662	1
1	-3.30781979921056	661	1
1	-3.29368723297994	659	1
1	-3.27647087266763	655	1
1	-3.25632039501177	654	1
1	-3.23478187341266	653	1
1	-3.22809624829423	653	1
1	-3.22358204040478	652	1
1	-3.21714440126331	652	1
1	-3.2146946565027	651	1
1	-3.21389761623458	648	1
1	-3.20940170479846	647	1
1	-3.20355597090704	646	1
1	-3.17859284983566	646	1
1	-3.14780191414645	643	1
1	-3.13936479117513	642	1
1	-3.13460650491749	638	1
1	-3.12981820545098	637	1
1	-3.12028902639742	636	1
1	-3.1050845331054	635	1
1	-3.09837774274458	635	1
1	-3.09800233011963	634	1
1	-3.08456105347918	633	1
1	-3.05417899534645	633	1
1	-3.03690329240579	630	1
1	-3.0349234090265	629	1
1	-3.01841945700435	627	1
1	-2.9917455352746	626	1
1	-2.97662388132216	624	1
1	-2.96754703009813	624	1
1	-2.95471740623247	623	1
1	-2.94530505596752	622	1
1	-2.94052609618798	621	1
1	-2.92446712344824	619	1
1	-2.90607445502268	616	1
1	-2.89971490927573	614	1
1	-2.89766563877795	612	1
1	-2.88069742729679	611	1
1	-2.86398865802387	610	1
1	-2.859080965352	609	1
1	-2.85242787055807	607	1
1	-2.84793074977447	602	1
1	-2.8412226248042	601	1
1	-2.83437865247652	601	1
1	-2.83126176666328	600	1
1	-2.81884300045463	600	1
1	-2.78932585623252	599	1
1	-2.75889027733174	593	1
1	-2.73298949624895	592	1
1	-2.71466121764586	593	1
1	-2.70556499076296	592	1
1	-2.70016034830853	591	1
1	-2.69349902369305	590	1
1	-2.68824616140112	589	1
1	-2.67393733233748	588	1
1	-2.65233930715301	587	1
1	-2.64457523039711	585	1
1	-2.62949437953003	582	1
1	-2.61419200556231	581	1
1	-2.60864316505042	580	1
1	-2.60099323733793	578	1
1	-2.59569093730998	577	1
1	-2.58632266738632	576	1
1	-2.57055471555011	575	1
1	-2.55572194571167	573	1
1	-2.54834603390128	572	1
1	-2.53427647346294	570	1
1	-2.50581862365255	566	1
1	-2.48945147396526	564	1
1	-2.48794823662025	564	1
1	-2.47724827313243	562	1
1	-2.46605629346148	557	1
1	-2.45952901091382	557	1
1	-2.45430038974338	556	1
1	-2.45225892517459	556	1
1	-2.44644415132674	554	1
1	-2.44012111033675	553	1
1	-2.42677214372746	553	1
1	-2.41310197232601	552	1
1	-2.40785442018587	549	1
1	-2.40323182758102	547	1
1	-2.39560121193069	546	1
1	-2.38965632806412	546	1
1	-2.38147438499103	538	1
1	-2.37086155658718	537	1
1	-2.36811800025887	534	1
1	-2.3656374111808	528	1
1	-2.36190626487823	526	1
1	-2.35936606547228	526	1
1	-2.35751178728368	524	1
1	-2.3542074598426	520	1
1	-2.35139494034155	521	1
1	-2.34893949991262	520	1
1	-2.34647772865513	515	1
1	-2.342733822101	514	1
1	-2.33410716843184	513	1
1	-2.3270868516569	511	1
1	-2.3237654297769	505	1
1	-2.31748263978878	503	1
1	-2.31091560152257	502	1
1	-2.30523012382417	501	1
1	-2.29942102940045	497	1
1	-2.29651979813875	496	1
1	-2.29142452551205	496	1
1	-2.28186867640481	495	1
1	-2.27021581196308	494	1
1	-2.25951726754911	493	1
1	-2.24719620354638	508	1
1	-2.23741042106059	508	1
1	-2.23269027189486	507	1
1	-2.22768452981127	507	1
