group	xmin	xmax
1	-16.3942310876704	-10.5844457607012
2	-6.70328485160325	-6.6989860184196
3	-6.13929516725107	-6.13206764398761
4	-5.73946016510694	-5.73938164560334
5	-5.41007038941829	-5.40416972709538
6	-5.0178237350686	-5.01605723986009
7	-4.73563615879613	-4.73516952296281
8	-4.35192312249072	-4.34064091565397
9	-4.04779543248413	-4.04465437262729
10	-3.85804134389508	-3.85369962404964
11	-3.65889394714719	-3.64456749751882
12	-3.50981803744096	-3.50072385523224
13	-3.34418586345546	-3.34213542113136
14	-3.1276461413927	-3.12123221634529
15	-2.98075153033152	-2.98050203412223
16	-2.88390075574377	-2.88324142173301
17	-2.78833818451712	-2.77928594114667
18	-2.66361029461895	-2.66046868774768
19	-2.51174606771396	-2.50579244788156
20	-2.40840325308248	-2.40581391252249
21	-2.26104353611518	-2.25751971032687
22	-2.14658695771695	-2.14546053244841
23	-2.09090564958405	-2.08933086970756
24	-1.98663355435688	-1.98587283848261
25	-1.90707335942757	-1.90365160635666
26	-1.86383250879806	-1.8613285542844
27	-1.80578166421897	-1.8041911870581
28	-1.72066486559215	-1.72064008009283
29	-1.6611448519345	-1.65554599972645
30	-1.58297565500825	-1.58169507371193
31	-1.49386148617833	-1.49373796643959
32	-1.43624757220473	-1.43565233774218
33	-1.34445841474865	-1.34127582860049
34	-1.27865416293348	-1.27658466894869
35	-1.19857145965919	-1.1976388554207
36	-1.13442880253116	-1.13409526282529
37	-1.07089568511805	-1.06945283570157
38	-1.01230684850051	-1.00871561885025
39	-1	-1
40	-1	-1
41	-1	-1
42	-1	-1
43	-1	-1
44	-1	-1
45	-1	-1
46	-1	-1
47	-1	-1
48	-1	-1
49	-1	-1
50	-1	-1
51	-1	-1
52	-1	-1
53	-1	-1
54	-1	-1
55	-1	-1
56	-1	-1
57	-1	-1
58	-1	-1
59	-1	-1
60	-0.92358893912131	-0.923253962960035
61	-0.68276681304529	-0.682502070773454
62	-0.335750035916999	-0.330929886880758
