x	y	key	PANEL	group
-16.3942310876704	0	1	1	7
-8.49611675072647	0	1	1	7
-8.25263344109553	0	1	1	7
-8.00420629968692	0	1	1	7
-7.97776890673628	0	1	1	7
-7.95812394063569	0	1	1	7
-7.89438029174558	0	1	1	7
-7.80363878679143	0	1	1	7
-7.76957399506188	0	1	1	7
-7.75828230642059	0	1	1	7
-7.74946621294136	0	1	1	7
-7.74465957601306	1	1	1	7
-7.73331771821002	1	1	1	7
-7.69465041234116	1	1	1	7
-7.64204276146056	1	1	1	7
-7.59164702838067	1	1	1	7
-7.55944164567159	1	1	1	7
-7.55416192358474	1	1	1	7
-7.54649053977558	1	1	1	7
-7.50072991785991	1	1	1	7
-7.43483616227366	1	1	1	7
-7.38687456981228	1	1	1	7
-7.35674912745152	1	1	1	7
-7.33888000916176	1	1	1	7
-7.31252557739401	1	1	1	7
-7.28444273462163	1	1	1	7
-7.25150889469499	1	1	1	7
-7.22860874598498	1	1	1	7
-7.21224800848942	1	1	1	7
-7.19195245279047	1	1	1	7
-7.18247495722205	1	1	1	7
-7.16500704793059	1	1	1	7
-7.15011519978544	1	1	1	7
-7.14172186807656	1	1	1	7
-7.13398976117443	1	1	1	7
-7.13155003332107	1	1	1	7
-7.13052210931217	1	1	1	7
-7.11864041753072	1	1	1	7
-7.08229496445435	1	1	1	7
-7.04834767468828	1	1	1	7
-7.03207612687525	1	1	1	7
-7.00962500531546	1	1	1	7
-6.98406921110295	1	1	1	7
-6.96797334967746	1	1	1	7
-6.96131162566381	1	1	1	7
-6.93954067199944	1	1	1	7
-6.90156374406802	1	1	1	7
-6.85331897683581	1	1	1	7
-6.80845340371084	1	1	1	7
-6.79237959247184	1	1	1	7
-6.77741791833324	1	1	1	7
-6.76122143186355	1	1	1	7
-6.74845364959297	2	1	1	7
-6.73664657375974	2	1	1	7
-6.7226921038891	2	1	1	7
-6.70782817358902	3	1	1	7
-6.69899540037919	3	1	1	7
-6.6885526055865	3	1	1	7
-6.6795504176609	3	1	1	7
-6.6745001977665	3	1	1	7
-6.66842732057623	3	1	1	7
-6.66228768809932	3	1	1	7
-6.65856629053427	4	1	1	7
-6.65452952081865	4	1	1	7
-6.65141212252919	4	1	1	7
-6.64701051148452	4	1	1	7
-6.64290793101011	4	1	1	7
-6.6236167594987	4	1	1	7
-6.59764969497815	4	1	1	7
-6.58074130480368	5	1	1	7
-6.57190776574458	5	1	1	7
-6.56841892500585	5	1	1	7
-6.55832195449227	5	1	1	7
-6.53109364247052	5	1	1	7
-6.50613714363096	5	1	1	7
-6.48559309398678	6	1	1	7
-6.46823993814874	6	1	1	7
