group	xmin	xmax
68	0.82839420049663	0.834609174323845
69	0.868727726844501	0.870600116888905
70	0.899059863645586	0.910034494975074
71	0.96216517430117	0.963830683104577
72	1.0311514034581	1.03157446475828
73	1.10272415164374	1.10529062886028
74	1.21769112693771	1.25633730840488
75	1.33861247597053	1.33863104197826
76	1.4217302984192	1.42895054325996
77	1.53276651200778	1.53745604439865
78	1.593106626916	1.5959398072967
79	1.61534128570544	1.6266676029373
80	1.76782736503528	1.78931818660964
81	1.94472567068949	1.9479632413489
82	2.01467579389042	2.01934035639958
83	2.14998123578189	2.15763337095887
84	2.28046323451011	2.28567880800013
85	2.39965047437517	2.40949995994869
86	2.46366050272613	2.46570269781993
87	2.50504938747804	2.52232188119389
88	2.5604719681571	2.56474684746202
89	2.609448420753	2.62557586110026
90	2.65664069283939	2.66280008753289
91	2.69694517040479	2.70007208411886
92	2.71216693867506	2.71341848006678
93	2.74900985539628	2.76094154607421
94	2.80160941737959	2.80677896556646
95	2.84215528310942	2.84724566297441
96	2.92726949416046	2.9285028462711
97	2.984131468423	2.9897471576894
98	3.18349189298091	3.19071144937688
99	3.33676100606328	3.3772806467573
100	3.55276822228189	3.56957789902089
101	4.42038262348091	12.0255107838507
102	-16.3942310876704	-8.41943781266922
103	-5.68606419110616	-5.68019686933278
104	-5.2125600048059	-5.18576282896884
105	-5.032418131609	-5.0291109974671
106	-4.80331127757336	-4.79682617036414
107	-4.65578525488226	-4.64865761403698
108	-4.48671230072199	-4.48580451484168
109	-4.35411710194617	-4.35313251692542
110	-4.15772343613985	-4.15117553837954
111	-4.06787793017477	-4.06158260302792
112	-3.91216064765684	-3.9096628571472
113	-3.80653252303308	-3.80251248070915
114	-3.71157425566633	-3.71122670467818
115	-3.5750916537035	-3.56799870895433
116	-3.52118422531641	-3.51947654575756
117	-3.42823263273867	-3.42473004384613
118	-3.27846040546605	-3.27832384176314
119	-3.1929396491659	-3.19178577988836
120	-3.11622823374388	-3.1081815182921
121	-3.02115040242894	-3.01769643933818
122	-2.92029510315916	-2.91963309932094
123	-2.85060301427532	-2.85009517672297
124	-2.76158950805144	-2.76137543029181
125	-2.63682773528574	-2.63493450754852
126	-2.52082592640077	-2.52028333093107
127	-2.42377092263002	-2.42282576193561
128	-2.34739161952574	-2.34521114766185
129	-2.25652047580653	-2.25246735489865
130	-2.15618124081492	-2.15573921334778
131	-2.06926861637415	-2.0678701529926
132	-1.9780665801921	-1.97494253635404
133	-1.92282192278988	-1.92167646273058
134	-1.84106131070643	-1.8317353057762
135	-1.74229481583838	-1.74180344931867
136	-1.65831739819411	-1.65817779951691
137	-1.53783372074464	-1.53745604439866
138	-1.42707825212784	-1.42663749400413
139	-1.34748218519636	-1.34555078298902
140	-1.26741256343607	-1.26400032035205
141	-1.17042722892542	-1.16337491598198
142	-1.03456359615576	-1.03162296146654
143	-1	-1
144	-1	-1
145	-1	-1
146	-1	-1
147	-1	-1
148	-1	-1
149	-1	-1
150	-1	-1
151	-1	-1
152	-1	-1
153	-1	-1
154	-1	-1
155	-1	-1
156	-1	-1
157	-0.962165174301171	-0.962013841980394
158	-0.737709727088475	-0.734396395433569
159	-0.540793747984861	-0.53951930155207
160	-0.202815488996059	-0.18895048816194
161	0.36776495402872	0.378468608204676
162	0.556102936121489	0.559614233743041
163	0.604390312184766	0.60568872428901
164	0.665708657339195	0.667657508356029
165	0.689805444124824	0.690160976219445
166	0.71958876073968	0.720484534969316
167	0.745564764377924	0.749331323622226
168	0.784209991931581	0.786625122478714
169	0.834609174323845	0.837343282580589
170	0.870600116888905	0.879680926403726
171	0.930702701993635	0.931921501900845
172	0.963830683104577	0.967287180658341
173	1.0311514034581	1.03157446475828
174	1.11583475146885	1.12440603702069
175	1.25633730840488	1.25708106942422
176	1.34204378987961	1.34917808173972
177	1.42825249899466	1.42895054325996
178	1.57128973825288	1.57255246459948
179	1.59642803644113	1.60518267753341
180	1.64998123578189	1.65450251549947
181	1.76845571584411	1.78931818660964
182	1.89998560028116	1.90169335745094
183	1.96876377115437	1.98924727092971
184	2.05785153989118	2.07504090569938
185	2.2296697418968	2.2483687414359
186	2.37876250887505	2.3792872301052
187	2.42939893415462	2.43134364632944
188	2.4733472904373	2.48145996700526
189	2.52659618283468	2.52736664881588
190	2.60410605355615	2.6089783884089
191	2.64880966771322	2.65053453485072
192	2.70673457664222	2.71109373421846
193	2.72210850261634	2.73162747497177
194	2.76345303336644	2.7671891054234
195	2.80744538818865	2.81561297899855
196	2.88968436924238	2.91869492389256
197	2.96862011591941	2.97603637804005
198	3.01023127256837	3.01845676049786
199	3.18349189298091	3.19071144937688
200	3.33676100606328	3.34668867578651
201	3.5457301469543	3.55276822228189
202	4.87406211417128	12.0255107838507
