x	y	key	PANEL	group
-16.3942310876704	0	1	1	14
-7.640937743917	0	1	1	14
-7.18031986182407	0	1	1	14
-6.60817774501108	0	1	1	14
-6.0435429889643	0	1	1	14
-5.93704764283258	0	1	1	14
-5.61581772533288	0	1	1	14
-5.2904706184553	0	1	1	14
-5.2249895214621	0	1	1	14
-5.16857731342513	0	1	1	14
-5.134844505276	0	1	1	14
-5.00848011018667	0	1	1	14
-4.88508598883183	0	1	1	14
-4.86451674460993	0	1	1	14
-4.84587857075	0	1	1	14
-4.80056523817018	0	1	1	14
-4.76073895221885	0	1	1	14
-4.73798594136228	0	1	1	14
-4.71499426453793	0	1	1	14
-4.66482922833407	0	1	1	14
-4.6119772263111	0	1	1	14
-4.58660089798805	0	1	1	14
-4.54619466640625	0	1	1	14
-4.4678700382552	0	1	1	14
-4.39680601069635	0	1	1	14
-4.29946216656218	0	1	1	14
-4.18447746206048	0	1	1	14
-4.13318516170963	0	1	1	14
-4.01471998724185	0	1	1	14
-3.87054507696745	0	1	1	14
-3.77284253705285	0	1	1	14
-3.6265129884995	0	1	1	14
-3.50637361670475	0	1	1	14
-3.46648214094715	0	1	1	14
-3.43196186985298	0	1	1	14
-3.34704423528912	0	1	1	14
-3.26392423261817	0	1	1	14
-3.23940259180773	0	1	1	14
-3.21338801770118	0	1	1	14
-3.18858209827682	0	1	1	14
-3.1383285702892	0	1	1	14
-3.0177528917809	0	1	1	14
-2.92014989337152	0	1	1	14
-2.85530521388125	0	1	1	14
-2.78501545686615	0	1	1	14
-2.7547998884381	0	1	1	14
-2.7382842143803	0	1	1	14
-2.71541187681043	0	1	1	14
-2.69537790860985	0	1	1	14
-2.6336836144896	0	1	1	14
-2.55024836172782	1	1	1	14
-2.47154597659915	1	1	1	14
-2.40327167053843	1	1	1	14
-2.34868420954208	1	1	1	14
-2.28634639158225	1	1	1	14
-2.24835707664147	3	1	1	14
-2.23861537702485	3	1	1	14
-2.22679638742503	3	1	1	14
-2.18053102929612	3	1	1	14
-2.1253059132477	3	1	1	14
-2.09077172425375	3	1	1	14
-2.07100114174393	3	1	1	14
-2.02840830136242	3	1	1	14
-1.96566959072152	3	1	1	14
-1.93838751460653	3	1	1	14
-1.90982696837683	3	1	1	14
-1.87213848270235	3	1	1	14
-1.84549027060863	3	1	1	14
-1.81817515985512	3	1	1	14
-1.8045432067219	3	1	1	14
-1.801282826876	3	1	1	14
-1.78956948788478	3	1	1	14
-1.78003187471965	3	1	1	14
-1.76562485296363	3	1	1	14
-1.74477861613875	5	1	1	14
-1.72924894067755	5	1	1	14
-1.7078937888912	5	1	1	14
-1.69373316667385	7	1	1	14
-1.6751822272012	7	1	1	14
-1.63307379695167	7	1	1	14
-1.60059580277465	7	1	1	14
-1.57775470596032	7	1	1	14
-1.51081119870627	7	1	1	14
-1.44674672448365	7	1	1	14
-1.4260824760745	7	1	1	14
-1.40241629152988	7	1	1	14
-1.32419503763735	7	1	1	14
-1.25713211957045	7	1	1	14
-1.24817391856635	7	1	1	14
-1.18336684565685	7	1	1	14
-1.0614850710483	7	1	1	14
-0.984147183256326	7	1	1	14
-0.909068577318552	7	1	1	14
-0.72263397859965	7	1	1	14
-0.581178606610024	7	1	1	14
-0.505982282537125	7	1	1	14
-0.431823429525326	7	1	1	14
-0.34043084962345	7	1	1	14
-0.254220568483325	7	1	1	14
-0.242760837701499	6	1	1	14
-0.218242514473975	5	1	1	14
-0.129482450723627	4	1	1	14
-1.77635683940025e-15	2	1	1	14
0.129482450723623	2	1	1	14
0.218242514473975	2	1	1	14
0.242760837701501	2	1	1	14
0.254220568483325	2	1	1	14
0.34043084962345	3	1	1	14
0.4927731911334	3	1	1	14
0.708387416134825	3	1	1	14
0.902700308801225	3	1	1	14
0.961926097995326	2	1	1	14
0.996389957086049	2	1	1	14
1.13412454843827	1	1	1	14
1.2883977174213	1	1	1	14
