x	y	key	PANEL	group
-16.3942310876704	0	1	1	24
-8.57837988777677	0	1	1	24
-8.37375146572721	0	1	1	24
-8.00597897216279	0	1	1	24
-7.55021692291821	0	1	1	24
-7.1919446590517	0	1	1	24
-7.00880373511711	0	1	1	24
-6.87192509957447	0	1	1	24
-6.7758858059356	0	1	1	24
-6.74898502504555	0	1	1	24
-6.68293548521763	0	1	1	24
-6.46511312804202	0	1	1	24
-6.15520357346215	0	1	1	24
-5.96259865028753	0	1	1	24
-5.84141623768711	0	1	1	24
-5.73887753722315	0	1	1	24
-5.71178713516243	0	1	1	24
-5.66545793178294	0	1	1	24
-5.59478758778729	0	1	1	24
-5.50796664802235	0	1	1	24
-5.42685954729473	1	1	1	24
-5.39221110705335	1	1	1	24
-5.34584196615737	1	1	1	24
-5.28728281808188	1	1	1	24
-5.23969334448015	1	1	1	24
-5.14095734430017	1	1	1	24
-5.03740628680655	1	1	1	24
-4.97376853318626	1	1	1	24
-4.9380734540672	1	1	1	24
-4.9044270900817	2	1	1	24
-4.78737424923141	2	1	1	24
-4.6974625027176	3	1	1	24
-4.66556279907703	3	1	1	24
-4.63402377764831	3	1	1	24
-4.59430371163884	3	1	1	24
-4.5392389796633	3	1	1	24
-4.44790832666698	3	1	1	24
-4.37017520982972	3	1	1	24
-4.35088594333527	3	1	1	24
-4.32041208385798	3	1	1	24
-4.24824631434639	4	1	1	24
-4.18383424761353	4	1	1	24
-4.15309197723948	4	1	1	24
-4.10920902769947	4	1	1	24
-4.08180772924923	4	1	1	24
-4.00234740996657	4	1	1	24
-3.92781233089155	4	1	1	24
-3.90561416218415	4	1	1	24
-3.88156554655548	5	1	1	24
-3.8684346264882	6	1	1	24
-3.84335652745664	6	1	1	24
-3.81611384370565	6	1	1	24
-3.79910783935744	6	1	1	24
-3.75519732310063	6	1	1	24
-3.69339473183154	7	1	1	24
-3.66178628009277	7	1	1	24
-3.64033772463506	8	1	1	24
-3.6210396718417	8	1	1	24
-3.61547967024536	8	1	1	24
-3.61049699336288	8	1	1	24
-3.60040643444225	8	1	1	24
-3.57734495113759	8	1	1	24
-3.55899323078148	9	1	1	24
-3.53897713456805	10	1	1	24
-3.50925225252401	10	1	1	24
-3.47205482751756	10	1	1	24
-3.43852067757438	11	1	1	24
-3.4289915154624	11	1	1	24
-3.41535834082878	11	1	1	24
-3.40297007473788	11	1	1	24
-3.37946261543864	11	1	1	24
-3.34678727458526	11	1	1	24
-3.33372732717571	12	1	1	24
-3.317672987822	12	1	1	24
-3.3033297696239	12	1	1	24
-3.28229085755145	11	1	1	24
-3.25969461172717	12	1	1	24
-3.25385583103595	12	1	1	24
-3.24586973970702	12	1	1	24
-3.2327657746844	13	1	1	24
-3.22182414233	13	1	1	24
-3.21793085478287	13	1	1	24
-3.20958433752161	13	1	1	24
-3.1867934603044	14	1	1	24
-3.13413556742316	14	1	1	24
-3.09763652694366	14	1	1	24
-3.08418012207448	15	1	1	24
-3.05726378399087	15	1	1	24
-3.03202989532612	15	1	1	24
-3.01681755572037	15	1	1	24
-3.01318865714555	15	1	1	24
-3.01165188089297	15	1	1	24
-3.00090950696317	15	1	1	24
-2.98622652553507	16	1	1	24
-2.98070359357154	16	1	1	24
-2.97913375050591	16	1	1	24
-2.97718196595655	16	1	1	24
-2.9716884125511	16	1	1	24
-2.96185335636789	16	1	1	24
-2.95408505485225	16	1	1	24
-2.91854298895518	17	1	1	24
-2.87797149544564	17	1	1	24
-2.86589946557424	18	1	1	24
-2.85336663688884	18	1	1	24
-2.82706182529287	18	1	1	24
-2.80127245142569	18	1	1	24
-2.79159442119502	18	1	1	24
-2.77560745480829	18	1	1	24
-2.75365343659854	18	1	1	24
-2.74428532349625	18	1	1	24
-2.72878698861757	18	1	1	24
-2.70509850318145	20	1	1	24
-2.69254784010843	20	1	1	24
-2.67534011760882	20	1	1	24
-2.65634451847955	21	1	1	24
-2.64518847013586	21	1	1	24
-2.63864846384421	21	1	1	24
-2.63023804326149	21	1	1	24
-2.6173579624868	21	1	1	24
-2.58660547309345	21	1	1	24
-2.55862962210882	21	1	1	24
-2.55426292470847	21	1	1	24
-2.54116762379506	23	1	1	24
-2.52812270057447	23	1	1	24
-2.5190218719848	23	1	1	24
-2.51048624572455	24	1	1	24
-2.50527739478347	24	1	1	24
-2.49965820959675	24	1	1	24
-2.49381613927048	24	1	1	24
-2.48451347557653	24	1	1	24
-2.46545823124967	26	1	1	24
-2.44662914958922	26	1	1	24
-2.44024785123701	28	1	1	24
-2.43243752659363	28	1	1	24
-2.42419259195218	28	1	1	24
-2.42053581880165	28	1	1	24
-2.41015773962211	28	1	1	24
-2.3974806457673	29	1	1	24
-2.38928521062237	30	1	1	24
-2.38085959070967	30	1	1	24
-2.3668014115234	30	1	1	24
-2.35700637499157	30	1	1	24
-2.34444563068529	30	1	1	24
-2.33210054064527	30	1	1	24
-2.32439104423476	30	1	1	24
-2.31682846019334	30	1	1	24
-2.30864437751208	31	1	1	24
-2.27810390427887	31	1	1	24
-2.25276580489455	31	1	1	24
-2.24931316130767	31	1	1	24
-2.2439086857007	32	1	1	24
-2.23107408935351	32	1	1	24
-2.22237260596099	32	1	1	24
-2.21844761738687	32	1	1	24
-2.19814573328366	32	1	1	24
-2.17648071104741	33	1	1	24
-2.1713155051833	33	1	1	24
-2.17002072244961	33	1	1	24
-2.16347945089233	33	1	1	24
-2.15796393951347	33	1	1	24
-2.15684692656753	34	1	1	24
-2.15538619660317	34	1	1	24
-2.14878105092448	34	1	1	24
-2.13482450793485	34	1	1	24
-2.12667005747475	34	1	1	24
-2.12198536346027	34	1	1	24
